ID,Volume (L),DBH (cm),vol_opt_mean,Volume Standard Deviation (L),dbhqsm_mean (cm),DBH Standard Deviation (cm),Number of Models,Height (m),Surface Area (m^2),PatchDiam1,PatchDiam2Min,PatchDiam2Max,Processing Time,X,Y,Z,Lat,Long,Elevation
AM2_Mt_Grenfell_NP_5.0404,1951.97131,55.410057300000005,1921.13,50.79,56.99999999999999,2.0,4,11.4508057,0.0,0.0,0.0,0.0,0.0,12.118959426879883,-48.99451446533203,295.9015808105469,-31.308008809059785,145.31508373613295,295.90178124047816
AM2_Mt_Grenfell_NP_5.0661,969.718933,30.470001699999997,940.79,139.32,20.0,13.0,4,6.1986084,0.0,0.0,0.0,0.0,0.0,41.64067840576172,6.184841632843018,297.7327880859375,-31.307511158779587,145.3153938347278,297.7329268986359
AM2_Mt_Grenfell_NP_5.1417,796.15387,19.2466259,792.39,76.68,20.0,1.0,4,6.94515991,0.0,0.0,0.0,0.0,0.0,-8.3555326461792,-41.2264289855957,292.6844482421875,-31.307938750750424,145.3148686687021,292.6845874777064
AM2_Mt_Grenfell_NP_5.0746,778.433472,45.254233500000005,777.64,41.42,34.0,9.0,4,7.05969238,0.0,0.0,0.0,0.0,0.0,-25.880815505981445,-50.59444808959961,290.71612548828125,-31.308023238631463,145.314684579949,290.71637941431254
AM2_Mt_Grenfell_NP_5.1237,709.171814,16.9207796,716.13,33.23,18.0,1.0,4,7.32598877,0.0,0.0,0.0,0.0,0.0,41.88319778442383,-10.883090019226074,298.488525390625,-31.307665090373977,145.3153963828406,298.48867210093886
AM2_Mt_Grenfell_NP_5.2012,654.816162,14.5259932,652.91,8.71,14.000000000000002,1.0,4,9.29440308,0.0,0.0,0.0,0.0,0.0,19.851058959960938,-35.72100067138672,296.5706787109375,-31.307889098229026,145.31516495509996,296.5708100013435
AM2_Mt_Grenfell_NP_5.0405,646.420776,21.8036175,570.39,242.27,13.0,6.0,4,8.78134155,0.0,0.0,0.0,0.0,0.0,-31.10335350036621,-12.923562049865723,287.36285400390625,-31.307683493445424,145.31462972249398,287.3629429191351
AM2_Mt_Grenfell_NP_5.0682,637.676514,35.805887,646.39,39.03,35.0,1.0,4,9.63900757,0.0,0.0,0.0,0.0,0.0,-20.086427688598633,-32.91376876831055,290.60894775390625,-31.307863780743407,145.31474544556767,290.6090646153316
AM2_Mt_Grenfell_NP_5.0157,609.740723,17.0933694,611.06,3.02,18.0,1.0,4,7.51229858,0.0,0.0,0.0,0.0,0.0,60.94078063964844,3.377624750137329,300.23797607421875,-31.307536475562518,145.3155965649904,300.238267830573
AM2_Mt_Grenfell_NP_5.0225,604.731934,31.6453278,575.43,39.68,32.0,1.0,4,9.25964355,0.0,0.0,0.0,0.0,0.0,7.462567329406738,41.669044494628906,289.65704345703125,-31.307191135427793,145.31503482401976,289.6571844741702
AM2_Mt_Grenfell_NP_5.1443,594.302917,21.2877154,595.57,8.91,21.0,0.0,4,9.10067749,0.0,0.0,0.0,0.0,0.0,12.716800689697266,44.68876266479492,290.01092529296875,-31.30716390124861,145.31509001488757,290.0110951401293
AM2_Mt_Grenfell_NP_5.0547,591.729065,21.1279228,578.34,29.49,20.0,2.0,4,7.42773438,0.0,0.0,0.0,0.0,0.0,-5.494135856628418,-71.43579864501953,293.5465087890625,-31.30821120199338,145.31489872512194,293.5469127856195
AM2_Mt_Grenfell_NP_5.0323,574.06488,26.4934897,589.9,26.31,26.0,1.0,4,9.61621094,0.0,0.0,0.0,0.0,0.0,-8.520188331604004,-65.46926879882812,293.03997802734375,-31.30815739127867,145.31486693893024,293.0403210548684
AM2_Mt_Grenfell_NP_5.0304,546.14978,10.335625,552.66,69.91,8.0,3.0,4,7.62420654,0.0,0.0,0.0,0.0,0.0,9.654960632324219,48.83180236816406,288.8367919921875,-31.307126536059275,145.3150578530491,288.83698696643114
