ID,Volume (L),DBH (cm),vol_opt_mean,Volume Standard Deviation (L),dbhqsm_mean (cm),DBH Standard Deviation (cm),Number of Models,Height (m),Surface Area (m^2),PatchDiam1,PatchDiam2Min,PatchDiam2Max,Processing Time,X,Y,Z,Lat,Long,Elevation
AM1_MT_Grenfell_1.0152,3468.79004,25.3198653,3078.99,773.18,39.0,13.0,4,13.3304749,0.0,0.0,0.0,0.0,0.0,-73.44244384765625,9.169334411621094,262.2420654296875,-31.302577080408785,145.30715478938632,262.2424944816157
AM1_MT_Grenfell_1.0309,3208.11157,47.159034,3190.5,37.49,47.0,1.0,4,14.8596802,0.0,0.0,0.0,0.0,0.0,-13.635919570922852,27.480791091918945,261.8983459472656,-31.302411934907322,145.3077829745246,261.89841994456947
AM1_MT_Grenfell_1.0986,2905.12305,30.243632199999997,2909.69,156.81,31.0,1.0,4,10.3665771,0.0,0.0,0.0,0.0,0.0,14.566804885864258,33.36223602294922,263.5892028808594,-31.302358891281404,145.30807920454725,263.58930709864944
AM1_MT_Grenfell_1.0249,2740.05078,50.197947,2753.05,36.44,50.0,0.0,4,14.6005554,0.0,0.0,0.0,0.0,0.0,-32.25760269165039,19.421823501586914,263.8381652832031,-31.302484616973263,145.30758737964857,263.8382764644921
AM1_MT_Grenfell_1.0170,2666.29565,39.7756726,2813.38,216.12,49.0,8.0,4,15.6912537,0.0,0.0,0.0,0.0,0.0,-25.68621826171875,58.635093688964844,262.8601379394531,-31.302130959723254,145.30765640384325,262.860460203141
AM1_MT_Grenfell_1.0984,2544.54517,32.607492799999996,2489.15,122.19,31.0,1.0,4,9.76495361,0.0,0.0,0.0,0.0,0.0,2.861665725708008,63.29713821411133,262.9736633300781,-31.302088913876226,145.3079562584611,262.973979299888
AM1_MT_Grenfell_1.0985,2482.20068,24.4995803,2726.51,587.72,24.0,11.0,4,10.7495422,0.0,0.0,0.0,0.0,0.0,42.85842514038086,15.90452766418457,265.1927795410156,-31.30251633851056,145.30837636881236,265.19294330850244
AM1_MT_Grenfell_1.0153,2013.69714,12.2142769,1946.76,216.78,15.0,6.0,4,13.9101257,0.0,0.0,0.0,0.0,0.0,15.487878799438477,77.63699340820312,262.8872985839844,-31.301959585205182,145.3080888784635,262.8877917584032
AM1_MT_Grenfell_1.0975,1926.01196,26.616698500000002,1919.78,38.05,27.0,0.0,4,11.855011,0.0,0.0,0.0,0.0,0.0,-4.507272720336914,-66.43486785888672,265.84405517578125,-31.303258942995154,145.3078788577894,265.8444041321054
AM1_MT_Grenfell_1.0290,1698.24353,40.636915,1729.78,72.46,39.0,2.0,4,13.047821,0.0,0.0,0.0,0.0,0.0,-61.45329284667969,-10.703784942626953,263.5325622558594,-31.302756313157833,145.30728071775948,263.5328670432791
AM1_MT_Grenfell_1.0316,1571.38855,37.7938896,1574.58,7.87,39.0,1.0,4,11.7252808,0.0,0.0,0.0,0.0,0.0,3.8310365676879883,-53.99097442626953,266.13037109375,-31.30314671382135,145.3079664407383,266.13060166686773
AM1_MT_Grenfell_1.0162,1385.62048,21.1017922,1382.65,31.75,21.0,0.0,4,10.1932068,0.0,0.0,0.0,0.0,0.0,27.482017517089844,21.998136520385742,264.531982421875,-31.30246138182081,145.30821486093816,264.5320796575397
AM1_MT_Grenfell_1.0046,1371.84705,30.0872386,1419.36,78.11,46.0,10.0,4,11.7037964,0.0,0.0,0.0,0.0,0.0,78.38455963134766,-11.767927169799805,268.8494873046875,-31.302765909356552,145.30874952305138,268.8499794015661
AM1_MT_Grenfell_1.0973,1320.30835,21.672803199999997,1318.77,31.28,28.000000000000004,17.0,4,8.12457275,0.0,0.0,0.0,0.0,0.0,61.346527099609375,15.131021499633789,265.7486267089844,-31.30252331380434,145.30857056055345,265.74893947225064
AM1_MT_Grenfell_1.0177,1272.87524,38.5054439,1250.49,38.95,37.0,5.0,4,13.0606384,0.0,0.0,0.0,0.0,0.0,-45.07929229736328,44.9156494140625,262.33111572265625,-31.30225469228713,145.30745270671952,262.3314336547628
AM1_MT_Grenfell_1.0132,1094.08923,35.2793187,1093.36,14.47,35.0,1.0,4,11.2324524,0.0,0.0,0.0,0.0,0.0,-31.708881378173828,-66.36614227294922,264.6011962890625,-31.303258322865872,145.307593140519,264.601621680893
AM1_MT_Grenfell_1.0747,1089.16565,19.4079831,1110.88,40.66,19.0,0.0,4,11.5375061,0.0,0.0,0.0,0.0,0.0,-2.4421279430389404,8.653412818908691,264.82763671875,-31.302581735758384,145.307900549605,264.82764307782054
AM1_MT_Grenfell_1.0963,1086.01709,23.4101862,1086.49,16.8,23.0,0.0,4,10.4692688,0.0,0.0,0.0,0.0,0.0,47.789432525634766,-10.02641773223877,267.3941650390625,-31.302750204692785,145.30842816324076,267.39435181673616
AM1_MT_Grenfell_1.0037,1064.97107,41.1575973,1093.24,35.73,42.0,1.0,4,13.4048157,0.0,0.0,0.0,0.0,0.0,-41.240142822265625,46.77175521850586,262.21832275390625,-31.302237952538103,145.30749303161085,262.21862812526524
AM1_MT_Grenfell_1.0458,1053.60657,33.217084400000005,1052.61,8.27,33.0,0.0,4,11.4464111,0.0,0.0,0.0,0.0,0.0,1.0700769424438477,22.544448852539062,263.3370056152344,-31.302456455015825,145.30793744043874,263.3370457049459
AM1_MT_Grenfell_1.0967,1017.09875,37.1599823,1011.33,35.54,36.0,1.0,4,9.37368774,0.0,0.0,0.0,0.0,0.0,-7.529685020446777,-46.363529205322266,265.65374755859375,-31.303077923330765,145.30784711146273,265.65392117667943
AM1_MT_Grenfell_1.0492,977.03363,36.8130416,976.07,16.57,25.0,9.0,4,10.1637573,0.0,0.0,0.0,0.0,0.0,69.3843002319336,-12.736608505249023,268.4437561035156,-31.302774646287887,145.30865498778596,268.4441459104419
AM1_MT_Grenfell_1.0547,887.572998,24.136284,890.06,21.55,23.0,1.0,4,9.15026855,0.0,0.0,0.0,0.0,0.0,-25.574480056762695,28.334503173828125,261.87237548828125,-31.302404235229425,145.30765757667623,261.8724898993969
AM1_MT_Grenfell_1.0219,877.74231,24.532742799999998,866.49,14.46,22.0,2.0,4,10.2368164,0.0,0.0,0.0,0.0,0.0,15.097103118896484,43.87760543823242,262.6247253417969,-31.302264055011918,145.30808477444856,262.6248947158456
AM1_MT_Grenfell_1.0108,862.203613,34.2544556,852.34,25.68,33.0,8.0,4,10.0798035,0.0,0.0,0.0,0.0,0.0,20.010986328125,19.942401885986328,264.10858154296875,-31.302479922254474,145.30813638825822,264.10864420514554
AM1_MT_Grenfell_1.0951,826.752258,29.361176500000003,813.39,19.78,30.0,0.0,4,9.93560791,0.0,0.0,0.0,0.0,0.0,-8.625236511230469,41.366512298583984,262.80902099609375,-31.302286702184187,145.30783560487012,262.8091614982113
AM1_MT_Grenfell_1.0243,790.519714,29.4330031,791.03,13.09,30.0,0.0,4,10.8740234,0.0,0.0,0.0,0.0,0.0,38.89206314086914,-9.559611320495605,267.0604553222656,-31.302745994989323,145.3083347085776,267.0605809772387
AM1_MT_Grenfell_1.0228,747.4198,29.8207134,738.9,59.82,21.0,6.0,4,8.8293457,0.0,0.0,0.0,0.0,0.0,9.627437591552734,11.730353355407715,264.16741943359375,-31.302553985350063,145.3080273236488,264.1674375208095
AM1_MT_Grenfell_1.0120,738.26239,30.377915500000004,717.12,44.98,30.0,0.0,4,10.0944824,0.0,0.0,0.0,0.0,0.0,0.4835343658924103,41.45315933227539,262.7324523925781,-31.302285920757605,145.3079312796197,262.7325876522809
AM1_MT_Grenfell_1.0627,736.998718,32.3468983,729.31,20.47,33.0,0.0,4,9.87078857,0.0,0.0,0.0,0.0,0.0,-13.179803848266602,17.331758499145508,264.0053405761719,-31.302503467264213,145.3077877652938,264.0053778216243
AM1_MT_Grenfell_1.0193,710.11438,20.8580554,710.62,1.89,21.0,0.0,4,10.4448853,0.0,0.0,0.0,0.0,0.0,-0.313618540763855,-34.99235534667969,265.9409484863281,-31.30297536883844,145.307922906634,265.9410448623821
AM1_MT_Grenfell_1.0082,699.259766,36.5009993,704.18,47.46,35.0,1.0,4,8.09561157,0.0,0.0,0.0,0.0,0.0,36.35960388183594,54.70533752441406,263.8114929199219,-31.302166401273176,145.30830810642178,263.8118319930509
AM1_MT_Grenfell_1.0212,673.508118,29.677027499999998,670.62,9.59,28.999999999999996,0.0,4,9.1416626,0.0,0.0,0.0,0.0,0.0,-43.1650276184082,4.396477222442627,263.9818115234375,-31.302620127473443,145.30747281172356,263.98195896856487
AM1_MT_Grenfell_1.0071,670.938232,38.9887959,670.02,24.08,32.0,13.0,4,12.1992188,0.0,0.0,0.0,0.0,0.0,41.93059158325195,-52.20915985107422,267.9351501464844,-31.30313064308592,145.30836662588183,267.93550237454474
AM1_MT_Grenfell_1.0981,668.697266,27.3091853,664.38,9.15,27.0,0.0,4,9.73498535,0.0,0.0,0.0,0.0,0.0,-17.77927017211914,-14.668190956115723,265.0760498046875,-31.30279206886591,145.30773945376868,265.07609149441123
AM1_MT_Grenfell_1.0954,663.43634,32.3863238,659.94,11.46,33.0,0.0,4,9.82470703,0.0,0.0,0.0,0.0,0.0,-33.438880920410156,-20.856082916259766,264.48406982421875,-31.302847875992654,145.30757497065636,264.4841916291043
AM1_MT_Grenfell_1.0281,638.52063,33.828479099999996,630.48,15.46,35.0,1.0,4,7.76672363,0.0,0.0,0.0,0.0,0.0,-42.382896423339844,53.92155075073242,262.0348205566406,-31.302173469763613,145.30748102889666,262.0351900747046
AM1_MT_Grenfell_1.0080,636.225281,29.7026396,627.94,29.96,30.0,0.0,4,8.9659729,0.0,0.0,0.0,0.0,0.0,10.94520378112793,-33.68936538696289,266.2161560058594,-31.30296361735015,145.30804116541464,266.2162547148764
AM1_MT_Grenfell_1.0085,625.088989,33.1143826,605.65,25.51,33.0,0.0,4,9.99853516,0.0,0.0,0.0,0.0,0.0,-43.431453704833984,-34.071346282958984,264.1461486816406,-31.30296706170595,145.30747001162544,264.1463877763599
AM1_MT_Grenfell_1.0401,624.28418,25.7117361,628.04,10.04,26.0,0.0,4,8.67752075,0.0,0.0,0.0,0.0,0.0,-32.9249382019043,-45.75716781616211,264.3174133300781,-31.30307245431574,145.30758036809874,264.3176630139351
AM1_MT_Grenfell_1.0086,608.346252,29.4984311,617.43,39.74,30.0,0.0,4,12.8540955,0.0,0.0,0.0,0.0,0.0,-72.6136474609375,-6.8577399253845215,263.2041320800781,-31.302721625740478,145.30716349369774,263.2045487333089
AM1_MT_Grenfell_1.0299,598.003174,31.8242639,604.36,13.92,30.0,3.0,4,8.91339111,0.0,0.0,0.0,0.0,0.0,21.02564811706543,-0.11811496317386627,266.4088134765625,-31.30266084436394,145.30814704620659,266.40884809941053
AM1_MT_Grenfell_1.0291,592.802124,33.9596838,614.37,29.85,34.0,0.0,4,8.55935669,0.0,0.0,0.0,0.0,0.0,20.57930564880371,73.83080291748047,263.5001525878906,-31.301993912535327,145.30814235657064,263.5006147697568
AM1_MT_Grenfell_1.0142,576.234863,9.15243626,562.39,26.77,10.0,3.0,4,8.03134155,0.0,0.0,0.0,0.0,0.0,46.8609733581543,-25.27302360534668,267.84844970703125,-31.30288771098402,145.30841841172995,267.8486719587818
AM1_MT_Grenfell_1.0969,570.433289,27.7831763,571.92,9.84,28.000000000000004,1.0,4,8.00152588,0.0,0.0,0.0,0.0,0.0,16.239835739135742,-23.67279052734375,266.55535888671875,-31.302873279657494,145.30809677822776,266.5554236471653
AM1_MT_Grenfell_1.0976,569.587708,26.260519,569.94,2.38,26.0,0.0,4,9.04830933,0.0,0.0,0.0,0.0,0.0,-27.60300064086914,-5.457392692565918,264.3523254394531,-31.302708998192262,145.30763626908765,264.35238745529205
AM1_MT_Grenfell_1.0222,563.773438,32.087189,562.32,23.44,32.0,1.0,4,8.97271729,0.0,0.0,0.0,0.0,0.0,25.46904182434082,-46.471099853515625,267.185791015625,-31.303078893135098,145.3081937190769,267.18601178284734
AM1_MT_Grenfell_1.0008,557.432739,27.3704261,570.75,24.51,28.999999999999996,2.0,4,9.63256836,0.0,0.0,0.0,0.0,0.0,23.857662200927734,51.761375427246094,263.1916809082031,-31.302192952608852,145.30817679149615,263.19193635322154
AM1_MT_Grenfell_1.0239,551.178101,25.772044100000002,556.74,7.62,28.000000000000004,2.0,4,10.242981,0.0,0.0,0.0,0.0,0.0,-56.15191650390625,-7.831727504730225,263.6949768066406,-31.302730410862093,145.30733640166295,263.6952285738662
AM1_MT_Grenfell_1.0176,548.536316,29.386031600000003,507.72,53.64,26.0,4.0,4,8.62789917,0.0,0.0,0.0,0.0,0.0,-71.05615997314453,25.657236099243164,262.3132019042969,-31.302428379148385,145.30717985518143,262.31364914402366
AM1_MT_Grenfell_1.0137,546.071594,31.957984,535.72,37.05,32.0,1.0,4,8.37261963,0.0,0.0,0.0,0.0,0.0,-66.86741638183594,-29.677526473999023,263.51708984375,-31.30292743356852,145.3072238485059,263.5175093449652
AM1_MT_Grenfell_1.0437,534.819946,19.876645500000002,541.56,9.96,26.0,4.0,4,7.34954834,0.0,0.0,0.0,0.0,0.0,31.659975051879883,-34.66521453857422,267.482666015625,-31.302972417910084,145.30825874618063,267.48283909540623
AM1_MT_Grenfell_1.0477,533.402405,27.6429683,537.94,13.22,27.0,1.0,4,9.72851562,0.0,0.0,0.0,0.0,0.0,-31.65859031677246,33.098724365234375,262.32171630859375,-31.302361267446148,145.3075936717923,262.3218810269609
AM1_MT_Grenfell_1.0497,529.91687,30.1812142,529.25,9.67,31.0,1.0,4,8.28424072,0.0,0.0,0.0,0.0,0.0,-11.658967018127441,-1.899774193763733,264.99310302734375,-31.30267691295152,145.30780373936096,264.99311395641416
AM1_MT_Grenfell_1.0486,528.920227,27.3801923,523.64,8.52,28.000000000000004,0.0,4,8.76742554,0.0,0.0,0.0,0.0,0.0,-46.981014251708984,-9.082459449768066,263.8877258300781,-31.302741691388658,145.30743272940884,263.88790518883616
AM1_MT_Grenfell_1.0640,517.881409,28.3917665,518.26,8.92,28.999999999999996,1.0,4,9.25732422,0.0,0.0,0.0,0.0,0.0,23.885330200195312,16.970539093017578,264.5280456542969,-31.302506724878135,145.30817708288785,264.52811300195754
AM1_MT_Grenfell_1.0183,513.070984,25.4004389,513.42,3.69,26.0,0.0,4,10.1074524,0.0,0.0,0.0,0.0,0.0,-50.124427795410156,17.044612884521484,263.27337646484375,-31.302506055955774,145.3073997134038,263.27359610330313
