ID,Volume (L),DBH (cm),vol_opt_mean,Volume Standard Deviation (L),dbhqsm_mean (cm),DBH Standard Deviation (cm),Number of Models,Height (m),Surface Area (m^2),PatchDiam1,PatchDiam2Min,PatchDiam2Max,Processing Time,X,Y,Z,Lat,Long,Elevation
AM1_MT_Grenfell_3.1585,1899.59912,46.509113899999996,1877.41,40.79,46.0,1.0,4,11.5557556,0.0,0.0,0.0,0.0,0.0,18.288307189941406,39.26848220825195,289.16949462890625,-31.27810164852906,145.28634759137665,289.169642187655
AM1_MT_Grenfell_3.1571,1704.04663,32.7972144,1641.46,81.25,34.0,1.0,4,10.6369324,0.0,0.0,0.0,0.0,0.0,8.890180587768555,10.236239433288574,287.52130126953125,-31.278363485055813,145.2862489032417,287.5213157059625
AM1_MT_Grenfell_3.0292,1685.823,47.3249942,1693.03,26.67,47.0,0.0,4,12.6924438,0.0,0.0,0.0,0.0,0.0,-15.814048767089844,-69.86236572265625,283.2752685546875,-31.27908588007714,145.2859894854142,283.27567227650434
AM1_MT_Grenfell_3.0617,1606.1217,42.7229494,1592.2,25.05,43.0,0.0,4,12.3732605,0.0,0.0,0.0,0.0,0.0,57.45518112182617,-17.377368927001953,286.9085388183594,-31.2786125257821,145.2867588807241,286.9088211217895
AM1_MT_Grenfell_3.1583,1603.2749,25.0927866,1628.97,52.63,25.0,0.0,4,11.6726074,0.0,0.0,0.0,0.0,0.0,50.466896057128906,-25.700942993164062,286.6373291015625,-31.27868759491623,145.28668549773784,286.6375805605203
AM1_MT_Grenfell_3.0211,1588.79785,41.1347479,1562.94,44.72,36.0,5.0,4,10.3916931,0.0,0.0,0.0,0.0,0.0,-32.92913055419922,40.25248718261719,286.8185729980469,-31.278092773513464,145.28580976410973,286.8187854429707
AM1_MT_Grenfell_3.0411,1492.43835,37.9959375,1481.64,26.64,42.0,3.0,4,13.1057739,0.0,0.0,0.0,0.0,0.0,-18.623929977416992,-1.028879165649414,285.85638427734375,-31.278465082993026,145.28595998026984,285.85641152597964
AM1_MT_Grenfell_3.0374,1427.12158,44.8679805,1426.26,18.4,44.0,0.0,4,11.9697266,0.0,0.0,0.0,0.0,0.0,8.367663383483887,60.60850524902344,289.4097900390625,-31.277909186925875,145.28624341589767,289.410084634088
AM1_MT_Grenfell_3.1496,1425.62793,45.265683499999994,1413.55,77.7,39.0,12.0,4,8.4125061,0.0,0.0,0.0,0.0,0.0,-6.536966800689697,49.99504089355469,288.2050476074219,-31.27800490772938,145.28608690469582,288.2052476750687
AM1_MT_Grenfell_3.0482,1298.07483,42.9154426,1298.15,20.96,43.0,0.0,4,9.98266602,0.0,0.0,0.0,0.0,0.0,15.822981834411621,-25.877962112426758,286.0738525390625,-31.27868919242569,145.28632170444945,286.07392485346645
AM1_MT_Grenfell_3.0350,1219.55652,12.4054119,1213.63,51.14,12.0,2.0,4,9.61001587,0.0,0.0,0.0,0.0,0.0,46.27024841308594,45.110923767089844,290.4840087890625,-31.27804895593434,145.2866414254695,290.4843366276473
AM1_MT_Grenfell_3.0457,1178.81201,35.749203,1142.33,82.45,36.0,0.0,4,10.7646484,0.0,0.0,0.0,0.0,0.0,31.953128814697266,70.42546844482422,291.1266784667969,-31.27782064930793,145.2864910826655,291.1271487828344
AM1_MT_Grenfell_3.0340,1125.51343,32.3012829,1183.48,87.92,43.0,11.0,4,11.1563721,0.0,0.0,0.0,0.0,0.0,-55.978919982910156,-21.93224334716797,283.74835205078125,-31.278653605536416,145.28556771765753,283.7486353330314
AM1_MT_Grenfell_3.1580,1087.9978,28.226319,1079.22,17.06,32.0,12.0,4,9.21960449,0.0,0.0,0.0,0.0,0.0,22.71669578552246,-8.152531623840332,287.20849609375,-31.278529329842826,145.2863940944175,287.2085417415947
