ID,Volume (L),DBH (cm),vol_opt_mean,Volume Standard Deviation (L),dbhqsm_mean (cm),DBH Standard Deviation (cm),Number of Models,Height (m),Surface Area (m^2),PatchDiam1,PatchDiam2Min,PatchDiam2Max,Processing Time,X,Y,Z,Lat,Long,Elevation
AM2_Mt_Grenfell_NP_2.1378,4428.48438,19.3754226,4310.21,265.89,27.0,19.0,4,15.5733032,0.0,0.0,0.0,0.0,0.0,-25.680387496948242,14.41487979888916,269.0157775878906,-31.28603781961317,145.2938163169269,269.01584558933973
AM2_Mt_Grenfell_NP_2.1379,4360.54102,37.5861973,3984.83,1186.92,16.0,14.000000000000002,4,16.6720581,0.0,0.0,0.0,0.0,0.0,-25.630226135253906,20.430641174316406,269.3290100097656,-31.285983564475067,145.29381684387747,269.32909430842847
AM2_Mt_Grenfell_NP_2.0469,3029.66431,50.5487502,3011.34,53.72,51.0,0.0,4,15.2633362,0.0,0.0,0.0,0.0,0.0,36.655799865722656,15.09699821472168,268.09844970703125,-31.286031667387658,145.2944709574557,268.0985728772357
AM2_Mt_Grenfell_NP_2.0296,2413.50635,50.9207487,2396.89,90.95,51.0,1.0,4,11.7182007,0.0,0.0,0.0,0.0,0.0,-25.518169403076172,45.76191329956055,269.02545166015625,-31.28575510594654,145.29381802130453,269.02566747833043
AM2_Mt_Grenfell_NP_2.0291,1608.77747,29.987952099999998,1576.46,50.43,47.0,12.0,4,14.2566833,0.0,0.0,0.0,0.0,0.0,86.33848571777344,-0.09629330039024353,267.29339599609375,-31.28616869054436,145.29499271521843,267.2939798105508
AM2_Mt_Grenfell_NP_2.0485,1323.6637,39.8664355,1318.35,23.7,41.0,0.0,4,12.5979004,0.0,0.0,0.0,0.0,0.0,31.24833869934082,-29.651981353759766,268.18597412109375,-31.286435251167486,145.29441417091405,268.1861197967082
AM2_Mt_Grenfell_NP_2.0606,1297.77356,14.5466074,1372.79,130.25,14.000000000000002,1.0,4,11.0993042,0.0,0.0,0.0,0.0,0.0,-44.141761779785156,31.52137565612793,268.9831848144531,-31.285883538424816,145.29362244051467,268.98341561760753
AM2_Mt_Grenfell_NP_2.0168,1184.36047,42.1643913,1175.8,13.22,41.0,1.0,4,10.3312073,0.0,0.0,0.0,0.0,0.0,18.57950210571289,-1.6461302042007446,268.4563293457031,-31.28618267131702,145.29428112456236,268.4563565934077
AM2_Mt_Grenfell_NP_2.0332,1163.27075,64.3393576,1170.41,359.26,37.0,32.0,4,6.70089722,0.0,0.0,0.0,0.0,0.0,74.02799224853516,16.432222366333008,267.24078369140625,-31.28601962342656,145.2948634317786,267.24123414140195
AM2_Mt_Grenfell_NP_2.0119,1074.78235,50.687557500000004,1122.41,77.87,38.0,14.000000000000002,4,10.7250977,0.0,0.0,0.0,0.0,0.0,83.42047882080078,-3.770042896270752,267.3254089355469,-31.286201823699642,145.29496207122332,267.3259550705552
