ID,Volume (L),DBH (cm),vol_opt_mean,Volume Standard Deviation (L),dbhqsm_mean (cm),DBH Standard Deviation (cm),Number of Models,Height (m),Surface Area (m^2),PatchDiam1,PatchDiam2Min,PatchDiam2Max,Processing Time,X,Y,Z,Lat,Long,Elevation
AM2_Mt_Grenfell_NP_4.0344,3110.2146,55.8093011,3473.82,747.16,56.00000000000001,2.0,4,15.0799866,0.0,0.0,0.0,0.0,0.0,37.70195770263672,28.400388717651367,268.5239562988281,-31.28146225849595,145.29671403217733,268.5241311052814
AM2_Mt_Grenfell_NP_4.0792,2605.09448,42.3505068,2621.72,39.58,42.0,1.0,4,14.0011292,0.0,0.0,0.0,0.0,0.0,0.031062807887792587,-34.898990631103516,268.3248596191406,-31.28203314608193,145.2963184400585,268.3249554745853
AM2_Mt_Grenfell_NP_4.0234,1943.09534,34.0511948,1929.36,35.39,28.999999999999996,14.000000000000002,4,11.6690063,0.0,0.0,0.0,0.0,0.0,36.47801971435547,-22.49055290222168,268.16094970703125,-31.281921235803704,145.29670118115493,268.1610937304795
AM2_Mt_Grenfell_NP_4.1890,1918.31628,41.1622345,1892.35,34.31,41.0,0.0,4,11.6254883,0.0,0.0,0.0,0.0,0.0,15.204340934753418,-3.0200555324554443,268.4354248046875,-31.281745634968765,145.29647777917918,268.43544362671673
AM2_Mt_Grenfell_NP_4.0585,1504.18726,47.3384768,1491.71,36.02,47.0,1.0,4,15.1271362,0.0,0.0,0.0,0.0,0.0,28.414854049682617,-39.613304138183594,268.14349365234375,-31.28207566338353,145.29661650777257,268.14368038997054
AM2_Mt_Grenfell_NP_4.0627,1376.22241,40.8726931,1385.7,36.3,42.0,1.0,4,16.722168,0.0,0.0,0.0,0.0,0.0,37.071998596191406,-25.390480041503906,268.1380920410156,-31.281947389765012,145.2967074188251,268.1382504142821
AM2_Mt_Grenfell_NP_4.1975,1274.67859,30.181983099999997,1239.89,46.28,31.0,1.0,4,10.2562561,0.0,0.0,0.0,0.0,0.0,31.16604995727539,45.21720504760742,268.7236633300781,-31.28131059051983,145.29664539633177,268.7239003200084
AM2_Mt_Grenfell_NP_4.1876,1223.35339,41.2877291,1193.74,191.63,40.0,3.0,4,11.0409851,0.0,0.0,0.0,0.0,0.0,38.16794967651367,-25.622907638549805,268.3236083984375,-31.28194948595021,145.2967189277567,268.3237741626799
AM2_Mt_Grenfell_NP_4.0274,1174.88049,42.2084689,1194.53,25.36,43.0,0.0,4,11.9168701,0.0,0.0,0.0,0.0,0.0,-4.568953514099121,60.39997100830078,269.1889343261719,-31.281173660026184,145.2962701342086,269.1892230864614
AM2_Mt_Grenfell_NP_4.0203,1172.9845,32.2480738,1171.13,12.17,32.0,2.0,4,11.7958374,0.0,0.0,0.0,0.0,0.0,13.427253723144531,9.845267295837402,268.4953308105469,-31.28162960470229,145.2964591172821,268.495352556929
AM2_Mt_Grenfell_NP_4.0081,1079.34924,16.816178,1105.53,58.65,28.000000000000004,11.0,4,11.5546265,0.0,0.0,0.0,0.0,0.0,-19.80628204345703,-76.96704864501953,268.67156982421875,-31.282412550938247,145.29611012072323,268.67206678539515
AM2_Mt_Grenfell_NP_4.0711,1002.44519,29.764530099999998,983.87,52.03,30.0,0.0,4,12.59021,0.0,0.0,0.0,0.0,0.0,-31.922775268554688,37.02676010131836,269.1039123535156,-31.281384458833028,145.29598288458078,269.1041000671685
AM2_Mt_Grenfell_NP_4.0938,729.694458,35.143440999999996,721.9,13.77,36.0,0.0,4,10.686676,0.0,0.0,0.0,0.0,0.0,-44.10841751098633,-35.10489273071289,268.64794921875,-31.28203500222891,145.29585491680345,268.6481985813007
AM2_Mt_Grenfell_NP_4.0079,670.445801,24.778384,650.95,44.52,23.0,1.0,4,11.578949,0.0,0.0,0.0,0.0,0.0,-57.438507080078125,20.904865264892578,269.1174621582031,-31.281529858636127,145.29571493639162,269.11775493901223
AM2_Mt_Grenfell_NP_4.0158,609.895691,33.3998948,627.33,40.93,35.0,1.0,4,11.5139771,0.0,0.0,0.0,0.0,0.0,-37.712467193603516,-39.426422119140625,268.5562438964844,-31.28207397763754,145.2959220826207,268.556477624923
AM2_Mt_Grenfell_NP_4.0256,604.961548,14.5026356,607.86,6.54,15.0,1.0,4,7.85446167,0.0,0.0,0.0,0.0,0.0,-20.262264251708984,-11.09954833984375,268.5733947753906,-31.281818502542066,145.296105333615,268.57343662530184
AM2_Mt_Grenfell_NP_4.0612,594.977661,35.5365425,599.19,7.16,36.0,0.0,4,12.2208862,0.0,0.0,0.0,0.0,0.0,14.823291778564453,57.348209381103516,268.9458923339844,-31.281201183270014,145.29647377676156,268.9461683854461
AM2_Mt_Grenfell_NP_4.0453,564.988403,27.8006554,565.42,2.35,28.000000000000004,1.0,4,12.1575928,0.0,0.0,0.0,0.0,0.0,20.46483612060547,-32.081424713134766,268.0702209472656,-31.282007734738237,145.2965330218157,268.07033475115895
AM2_Mt_Grenfell_NP_4.0432,536.410889,24.4193316,536.31,8.48,24.0,0.0,4,11.1782837,0.0,0.0,0.0,0.0,0.0,-16.39349365234375,3.881066083908081,268.71002197265625,-31.28168339484219,145.2961459610091,268.71004420425743
AM2_Mt_Grenfell_NP_4.0718,523.798218,25.992581199999996,522.07,11.54,25.0,1.0,4,10.912323,0.0,0.0,0.0,0.0,0.0,50.046199798583984,10.809697151184082,268.0448303222656,-31.281620905659246,145.29684366327723,268.04503567609936
AM2_Mt_Grenfell_NP_4.0618,521.152039,31.716018899999998,513.29,9.55,31.0,1.0,4,10.9837036,0.0,0.0,0.0,0.0,0.0,-5.347176551818848,32.6446647644043,268.91204833984375,-31.28142398066384,145.2962619617558,268.91213445179164
