fid,ID,Volume..L.,DBH..cm.,vol_opt_mean,Volume.Standard.Deviation..L.,dbhqsm_mean..cm.,DBH.Standard.Deviation..cm.,Number.of.Models,Height..m.,Surface.Area..m.2.,PatchDiam1,PatchDiam2Min,PatchDiam2Max,Processing.Time,X,Y,Z,Lat,Long,Elevation,plot_id,tree_id
4678,AM2_Mt_Grenfell_NP_6.1852,89.8805389,7.58286491,91.73,"3.53",9,"1",4,5.2796936,false,false,false,false,false,34.6952018737793,26.5872097015381,322.461883544922,-31.3102073881615,145.318469992338,322.462033453397,AM2_Mt_Grenfell_NP_6,1852
4679,AM2_Mt_Grenfell_NP_6.2382,89.7657089,7.94713348,86.4,"6.19",8,"0",4,5.0501709,false,false,false,false,false,-7.04033899307251,-22.6393413543701,320.352203369141,-31.3106513493524,145.318031586583,320.352247590199,AM2_Mt_Grenfell_NP_6,2382
4680,AM2_Mt_Grenfell_NP_6.0703,89.5016937,8.45995918,89.55,"0.51",8,"0",4,4.75534058,false,false,false,false,false,12.5442838668823,-22.0887546539307,321.412353515625,-31.3106463836824,145.318237311627,321.412404239178,AM2_Mt_Grenfell_NP_6,703
4681,AM2_Mt_Grenfell_NP_6.0936,88.5931396,10.5004601,87.79,"4.55",10,"0",4,4.35046387,false,false,false,false,false,-22.5093288421631,0.552245378494263,319.158264160156,-31.3104421905932,145.31786909432,319.158303865232,AM2_Mt_Grenfell_NP_6,936
4682,AM2_Mt_Grenfell_NP_6.2407,88.5826035,8.97296891,88.69,"1.18",9,"1",4,3.60592651,false,false,false,false,false,-7.56083536148071,-9.24622249603272,320.347198486328,-31.3105305604833,145.318026119173,320.34720969107,AM2_Mt_Grenfell_NP_6,2407
4683,AM2_Mt_Grenfell_NP_6.0144,88.415802,11.4053257,89.09,"1.65",12,"1",4,5.07736206,false,false,false,false,false,-19.3992042541504,-26.5773239135742,319.728973388672,-31.3106868648198,145.317901763795,319.729058454745,AM2_Mt_Grenfell_NP_6,144
4684,AM2_Mt_Grenfell_NP_6.2457,87.9803543,8.68781656,90.92,"3.99",8,"1",4,5.06420898,false,false,false,false,false,13.7525367736816,17.764461517334,321.014373779297,-31.310286958485,145.318250003079,321.014413428493,AM2_Mt_Grenfell_NP_6,2457
4685,AM2_Mt_Grenfell_NP_6.1009,87.8977585,7.87737966,90.49,"3.5",8,"1",4,4.4515686,false,false,false,false,false,55.6544952392578,-1.53339517116547,324.022583007812,-31.3104609992936,145.318690157843,324.022825775668,AM2_Mt_Grenfell_NP_6,1009
4686,AM2_Mt_Grenfell_NP_6.0765,87.148201,16.5650696,89.13,"2.41",17,"0",4,5.14260864,false,false,false,false,false,-4.09837198257446,7.57913017272949,320.411560058594,-31.3103788172567,145.31806249036,320.411565894261,AM2_Mt_Grenfell_NP_6,765
4687,AM2_Mt_Grenfell_NP_6.1201,87.1438904,8.35297033,85.95,"1.6",9,"1",4,4.49472046,false,false,false,false,false,-29.3254241943359,3.65892553329468,318.526153564453,-31.3104141721359,145.317797495408,318.526221971028,AM2_Mt_Grenfell_NP_6,1201
4688,AM2_Mt_Grenfell_NP_6.0204,86.7748947,9.46742445,86.24,"3.73",12,"3",4,5.19989014,false,false,false,false,false,29.8631744384766,36.566967010498,321.889923095703,-31.3101173835955,145.318419234684,321.890098178759,AM2_Mt_Grenfell_NP_6,204
4689,AM2_Mt_Grenfell_NP_6.0704,86.5360565,7.86820799,87.48,"2.81",8,"0",4,4.44281006,false,false,false,false,false,18.4406185150146,-15.7800045013428,321.6533203125,-31.3105894867208,145.318299249056,321.653366543353,AM2_Mt_Grenfell_NP_6,704
4690,AM2_Mt_Grenfell_NP_6.0558,85.3332672,5.93584441,87.64,"3.28",6,"1",4,4.47076416,false,false,false,false,false,39.873893737793,15.7962684631348,322.630737304688,-31.3103047085117,145.31852439163,322.630881463178,AM2_Mt_Grenfell_NP_6,558
4691,AM2_Mt_Grenfell_NP_6.1037,85.1525879,10.2505371,83.13,"2.44",10,"0",4,4.68161011,false,false,false,false,false,38.8476829528809,-17.496057510376,323.08935546875,-31.3106049627911,145.318513613191,323.089497753419,AM2_Mt_Grenfell_NP_6,1037
4692,AM2_Mt_Grenfell_NP_6.1598,84.7303085,6.20419532,83.65,"13.91",6,"0",4,5.00927734,false,false,false,false,false,-21.1601982116699,-19.587532043457,319.749969482422,-31.310623825767,145.317883265718,319.750034744851,AM2_Mt_Grenfell_NP_6,1598
4693,AM2_Mt_Grenfell_NP_6.2093,84.0516586,9.67197418,81.05,"3.74",10,"2",4,5.29733276,false,false,false,false,false,34.7141151428223,-10.8244371414185,322.771881103516,-31.310544793438,145.318470192291,322.771984702908,AM2_Mt_Grenfell_NP_6,2093
4694,AM2_Mt_Grenfell_NP_6.0755,84.0283127,7.89120793,85.77,"5.85",8,"0",4,5.23693848,false,false,false,false,false,17.9989242553711,-24.3338928222656,321.857666015625,-31.3106666318773,145.318294609467,321.857737990096,AM2_Mt_Grenfell_NP_6,755
4695,AM2_Mt_Grenfell_NP_6.1642,83.5081024,9.50039774,85.44,"4.72",10,"1",4,4.84454346,false,false,false,false,false,14.7682676315308,-32.1468658447266,321.622131347656,-31.3107370949765,145.318260673422,321.622229762375,AM2_Mt_Grenfell_NP_6,1642
4696,AM2_Mt_Grenfell_NP_6.1115,83.3715134,5.2860938,103.2,"35.06",8,"3",4,6.11242676,false,false,false,false,false,-42.0110816955566,24.106855392456,317.230712890625,-31.3102297573705,145.317664241019,317.230896853842,AM2_Mt_Grenfell_NP_6,1115
4697,AM2_Mt_Grenfell_NP_6.0166,83.3123169,9.96274352,83.3,"1.8",10,"2",4,5.75064087,false,false,false,false,false,-29.5598411560059,-35.294059753418,318.8544921875,-31.3107654785059,145.317795031863,318.854658658616,AM2_Mt_Grenfell_NP_6,166
4698,AM2_Mt_Grenfell_NP_6.0079,82.954361,10.2701023,85.31,"2.91",11,"0",4,5.37637329,false,false,false,false,false,28.3927173614502,41.7920455932617,322.003723144531,-31.3100702600961,145.318403788325,322.003923740238,AM2_Mt_Grenfell_NP_6,79
4699,AM2_Mt_Grenfell_NP_6.0513,82.9322586,7.35637322,83.66,"3.65",8,"0",4,5.89196777,false,false,false,false,false,17.9097003936768,16.5097160339355,321.410491943359,-31.3102982746424,145.318293671504,321.410538516007,AM2_Mt_Grenfell_NP_6,513
4700,AM2_Mt_Grenfell_NP_6.1121,82.8914948,7.55327418,83.94,"1.66",6,"2",4,4.62387085,false,false,false,false,false,20.4543743133545,-28.7381935119629,322.104736328125,-31.3107063529966,145.318320402622,322.104834095575,AM2_Mt_Grenfell_NP_6,1121
4701,AM2_Mt_Grenfell_NP_6.0713,82.6294556,12.4752119,83.8,"7.16",12,"1",4,4.28289795,false,false,false,false,false,-24.7262554168701,10.5916919708252,318.898773193359,-31.3103516475091,145.31784580708,318.898829906248,AM2_Mt_Grenfell_NP_6,713
4702,AM2_Mt_Grenfell_NP_6.0385,82.3703308,11.166206,82.89,"2.88",10,"1",4,5.75473022,false,false,false,false,false,-26.9432945251465,15.8377523422241,318.6220703125,-31.3103043346612,145.317822518572,318.622146908194,AM2_Mt_Grenfell_NP_6,385
4703,AM2_Mt_Grenfell_NP_6.0824,82.0863113,7.93697163,80.76,"1.92",8,"0",4,5.34570312,false,false,false,false,false,12.5164566040039,30.5785980224609,321.082397460938,-31.3101713913245,145.318237018665,321.08248332236,AM2_Mt_Grenfell_NP_6,824
4704,AM2_Mt_Grenfell_NP_6.1492,81.9748306,9.85936895,79.51,"3.07",10,"0",4,5.50006104,false,false,false,false,false,17.4054317474365,-23.2474250793457,321.756317138672,-31.3106568333375,145.318288375158,321.756383399479,AM2_Mt_Grenfell_NP_6,1492
4705,AM2_Mt_Grenfell_NP_6.1059,81.8304596,9.9933438,78.51,"4.36",9,"1",4,4.86358643,false,false,false,false,false,54.4140815734863,6.06907224655151,323.720092773438,-31.3103924348189,145.318677127665,323.720327562653,AM2_Mt_Grenfell_NP_6,1059
4706,AM2_Mt_Grenfell_NP_6.1933,81.7890472,8.75004232,80.89,"2.19",9,"1",4,4.9317627,false,false,false,false,false,-28.5399913787842,-18.3661842346191,318.844787597656,-31.3106128106311,145.31780574529,318.844877936877,AM2_Mt_Grenfell_NP_6,1933
4707,AM2_Mt_Grenfell_NP_6.1767,81.774498,9.43399668,89.07,"12.56",9,"3",4,4.13967896,false,false,false,false,false,-27.248556137085,-16.7710609436035,319.006774902344,-31.3105984246754,145.317819311115,319.006855188869,AM2_Mt_Grenfell_NP_6,1767
4708,AM2_Mt_Grenfell_NP_6.0292,81.5926208,7.58137256,80.78,"3.61",7,"1",4,5.08609009,false,false,false,false,false,-24.0042114257812,21.4541893005371,318.799530029297,-31.31025368161,145.317853391967,318.799611381255,AM2_Mt_Grenfell_NP_6,292
4709,AM2_Mt_Grenfell_NP_6.1311,80.6934509,7.9932116,80.79,"0.46",8,"0",4,4.70706177,false,false,false,false,false,-25.7429637908936,-29.6273384094238,319.026977539062,-31.3107143719728,145.317835126151,319.027098525316,AM2_Mt_Grenfell_NP_6,1311
4710,AM2_Mt_Grenfell_NP_6.0077,80.3497925,10.2222085,81.78,"1.9",10,"0",4,6.21170044,false,false,false,false,false,-51.034595489502,18.3467693328857,316.509796142578,-31.3102817056557,145.317569454276,316.510026616044,AM2_Mt_Grenfell_NP_6,77
4711,AM2_Mt_Grenfell_NP_6.1560,80.2635345,6.29968047,80.1,"2.71",7,"1",4,4.37237549,false,false,false,false,false,21.203556060791,-38.1598358154297,322.168487548828,-31.3107913241623,145.318328272541,322.168637364171,AM2_Mt_Grenfell_NP_6,1560
4712,AM2_Mt_Grenfell_NP_6.1043,79.6533127,6.15745932,80.47,"1.84",6,"0",4,5.25720215,false,false,false,false,false,16.9722728729248,-17.9859714508057,321.620147705078,-31.3106093817508,145.318283824991,321.62019572407,AM2_Mt_Grenfell_NP_6,1043
4713,AM2_Mt_Grenfell_NP_6.1620,78.9497452,8.64312351,80.11,"1.73",9,"0",4,4.84466553,false,false,false,false,false,9.70479393005371,-8.22568321228027,321.077362060547,-31.3105213564948,145.318207484314,321.077374760993,AM2_Mt_Grenfell_NP_6,1620
4714,AM2_Mt_Grenfell_NP_6.0942,78.3453293,9.94866714,76.81,"3.28",10,"0",4,5.47961426,false,false,false,false,false,-42.5951271057129,3.09716844558716,317.285949707031,-31.3104192380551,145.317658105095,317.286092558876,AM2_Mt_Grenfell_NP_6,942
4715,AM2_Mt_Grenfell_NP_6.0309,78.311676,10.3037767,79.02,"2.68",9,"1",4,4.59210205,false,false,false,false,false,-15.0964307785034,-29.6429958343506,320.060363769531,-31.3107145133261,145.317946961911,320.060450775549,AM2_Mt_Grenfell_NP_6,309
