fid,ID,Volume..L.,DBH..cm.,vol_opt_mean,Volume.Standard.Deviation..L.,dbhqsm_mean..cm.,DBH.Standard.Deviation..cm.,Number.of.Models,Height..m.,Surface.Area..m.2.,PatchDiam1,PatchDiam2Min,PatchDiam2Max,Processing.Time,X,Y,Z,Lat,Long,Elevation,plot_id,tree_id
1,AM1_MT_Grenfell_1.0309,3208.11157,47.159034,3190.5,"37.49",47,"1",4,14.8596802,false,false,false,false,false,-13.6359195709229,27.4807910919189,261.898345947266,-31.3024119349073,145.307782974525,261.898419944569,AM1_MT_Grenfell_1,309
2,AM1_MT_Grenfell_1.0986,2905.12305,30.2436322,2909.69,"156.81",31,"1",4,10.3665771,false,false,false,false,false,14.5668048858643,33.3622360229492,263.589202880859,-31.3023588912814,145.308079204547,263.589307098649,AM1_MT_Grenfell_1,986
3,AM1_MT_Grenfell_1.0249,2740.05078,50.197947,2753.05,"36.44",50,"0",4,14.6005554,false,false,false,false,false,-32.2576026916504,19.4218235015869,263.838165283203,-31.3024846169733,145.307587379649,263.838276464492,AM1_MT_Grenfell_1,249
4,AM1_MT_Grenfell_1.0984,2544.54517,32.6074928,2489.15,"122.19",31,"1",4,9.76495361,false,false,false,false,false,2.86166572570801,63.2971382141113,262.973663330078,-31.3020889138762,145.307956258461,262.973979299888,AM1_MT_Grenfell_1,984
5,AM1_MT_Grenfell_1.0985,2482.20068,24.4995803,2726.51,"587.72",24,"11",4,10.7495422,false,false,false,false,false,42.8584251403809,15.9045276641846,265.192779541016,-31.3025163385106,145.308376368812,265.192943308502,AM1_MT_Grenfell_1,985
6,AM1_MT_Grenfell_1.0975,1926.01196,26.6166985,1919.78,"38.05",27,"0",4,11.855011,false,false,false,false,false,-4.50727272033691,-66.4348678588867,265.844055175781,-31.3032589429952,145.307878857789,265.844404132105,AM1_MT_Grenfell_1,975
7,AM1_MT_Grenfell_1.0316,1571.38855,37.7938896,1574.58,"7.87",39,"1",4,11.7252808,false,false,false,false,false,3.83103656768799,-53.9909744262695,266.13037109375,-31.3031467138213,145.307966440738,266.130601666868,AM1_MT_Grenfell_1,316
8,AM1_MT_Grenfell_1.0162,1385.62048,21.1017922,1382.65,"31.75",21,"0",4,10.1932068,false,false,false,false,false,27.4820175170898,21.9981365203857,264.531982421875,-31.3024613818208,145.308214860938,264.53207965754,AM1_MT_Grenfell_1,162
9,AM1_MT_Grenfell_1.0747,1089.16565,19.4079831,1110.88,"40.66",19,"0",4,11.5375061,false,false,false,false,false,-2.44212794303894,8.65341281890869,264.82763671875,-31.3025817357584,145.307900549605,264.827643077821,AM1_MT_Grenfell_1,747
10,AM1_MT_Grenfell_1.0963,1086.01709,23.4101862,1086.49,"16.8",23,"0",4,10.4692688,false,false,false,false,false,47.7894325256348,-10.0264177322388,267.394165039062,-31.3027502046928,145.308428163241,267.394351816736,AM1_MT_Grenfell_1,963
11,AM1_MT_Grenfell_1.0458,1053.60657,33.2170844,1052.61,"8.27",33,"0",4,11.4464111,false,false,false,false,false,1.07007694244385,22.5444488525391,263.337005615234,-31.3024564550158,145.307937440439,263.337045704946,AM1_MT_Grenfell_1,458
12,AM1_MT_Grenfell_1.0967,1017.09875,37.1599823,1011.33,"35.54",36,"1",4,9.37368774,false,false,false,false,false,-7.52968502044678,-46.3635292053223,265.653747558594,-31.3030779233308,145.307847111463,265.653921176679,AM1_MT_Grenfell_1,967
13,AM1_MT_Grenfell_1.0547,887.572998,24.136284,890.06,"21.55",23,"1",4,9.15026855,false,false,false,false,false,-25.5744800567627,28.3345031738281,261.872375488281,-31.3024042352294,145.307657576676,261.872489899397,AM1_MT_Grenfell_1,547
14,AM1_MT_Grenfell_1.0219,877.74231,24.5327428,866.49,"14.46",22,"2",4,10.2368164,false,false,false,false,false,15.0971031188965,43.8776054382324,262.624725341797,-31.3022640550119,145.308084774449,262.624894715846,AM1_MT_Grenfell_1,219
15,AM1_MT_Grenfell_1.0108,862.203613,34.2544556,852.34,"25.68",33,"8",4,10.0798035,false,false,false,false,false,20.010986328125,19.9424018859863,264.108581542969,-31.3024799222545,145.308136388258,264.108644205146,AM1_MT_Grenfell_1,108
16,AM1_MT_Grenfell_1.0951,826.752258,29.3611765,813.39,"19.78",30,"0",4,9.93560791,false,false,false,false,false,-8.62523651123047,41.366512298584,262.809020996094,-31.3022867021842,145.30783560487,262.809161498211,AM1_MT_Grenfell_1,951
17,AM1_MT_Grenfell_1.0243,790.519714,29.4330031,791.03,"13.09",30,"0",4,10.8740234,false,false,false,false,false,38.8920631408691,-9.5596113204956,267.060455322266,-31.3027459949893,145.308334708578,267.060580977239,AM1_MT_Grenfell_1,243
18,AM1_MT_Grenfell_1.0228,747.4198,29.8207134,738.9,"59.82",21,"6",4,8.8293457,false,false,false,false,false,9.62743759155273,11.7303533554077,264.167419433594,-31.3025539853501,145.308027323649,264.167437520809,AM1_MT_Grenfell_1,228
19,AM1_MT_Grenfell_1.0120,738.26239,30.3779155,717.12,"44.98",30,"0",4,10.0944824,false,false,false,false,false,0.48353436589241,41.4531593322754,262.732452392578,-31.3022859207576,145.30793127962,262.732587652281,AM1_MT_Grenfell_1,120
20,AM1_MT_Grenfell_1.0627,736.998718,32.3468983,729.31,"20.47",33,"0",4,9.87078857,false,false,false,false,false,-13.1798038482666,17.3317584991455,264.005340576172,-31.3025034672642,145.307787765294,264.005377821624,AM1_MT_Grenfell_1,627
21,AM1_MT_Grenfell_1.0193,710.11438,20.8580554,710.62,"1.89",21,"0",4,10.4448853,false,false,false,false,false,-0.313618540763855,-34.9923553466797,265.940948486328,-31.3029753688384,145.307922906634,265.941044862382,AM1_MT_Grenfell_1,193
22,AM1_MT_Grenfell_1.0212,673.508118,29.6770275,670.62,"9.59",29,"0",4,9.1416626,false,false,false,false,false,-43.1650276184082,4.39647722244263,263.981811523438,-31.3026201274734,145.307472811724,263.981958968565,AM1_MT_Grenfell_1,212
23,AM1_MT_Grenfell_1.0981,668.697266,27.3091853,664.38,"9.15",27,"0",4,9.73498535,false,false,false,false,false,-17.7792701721191,-14.6681909561157,265.076049804688,-31.3027920688659,145.307739453769,265.076091494411,AM1_MT_Grenfell_1,981
24,AM1_MT_Grenfell_1.0954,663.43634,32.3863238,659.94,"11.46",33,"0",4,9.82470703,false,false,false,false,false,-33.4388809204102,-20.8560829162598,264.484069824219,-31.3028478759927,145.307574970656,264.484191629104,AM1_MT_Grenfell_1,954
25,AM1_MT_Grenfell_1.0080,636.225281,29.7026396,627.94,"29.96",30,"0",4,8.9659729,false,false,false,false,false,10.9452037811279,-33.6893653869629,266.216156005859,-31.3029636173502,145.308041165415,266.216254714876,AM1_MT_Grenfell_1,80
26,AM1_MT_Grenfell_1.0299,598.003174,31.8242639,604.36,"13.92",30,"3",4,8.91339111,false,false,false,false,false,21.0256481170654,-0.118114963173866,266.408813476562,-31.3026608443639,145.308147046207,266.408848099411,AM1_MT_Grenfell_1,299
27,AM1_MT_Grenfell_1.0142,576.234863,9.15243626,562.39,"26.77",10,"3",4,8.03134155,false,false,false,false,false,46.8609733581543,-25.2730236053467,267.848449707031,-31.302887710984,145.30841841173,267.848671958782,AM1_MT_Grenfell_1,142
28,AM1_MT_Grenfell_1.0969,570.433289,27.7831763,571.92,"9.84",28,"1",4,8.00152588,false,false,false,false,false,16.2398357391357,-23.6727905273438,266.555358886719,-31.3028732796575,145.308096778228,266.555423647165,AM1_MT_Grenfell_1,969
29,AM1_MT_Grenfell_1.0976,569.587708,26.260519,569.94,"2.38",26,"0",4,9.04830933,false,false,false,false,false,-27.6030006408691,-5.45739269256592,264.352325439453,-31.3027089981923,145.307636269088,264.352387455292,AM1_MT_Grenfell_1,976
30,AM1_MT_Grenfell_1.0222,563.773438,32.087189,562.32,"23.44",32,"1",4,8.97271729,false,false,false,false,false,25.4690418243408,-46.4710998535156,267.185791015625,-31.3030788931351,145.308193719077,267.186011782847,AM1_MT_Grenfell_1,222
31,AM1_MT_Grenfell_1.0239,551.178101,25.7720441,556.74,"7.62",28,"2",4,10.242981,false,false,false,false,false,-56.1519165039062,-7.83172750473022,263.694976806641,-31.3027304108621,145.307336401663,263.695228573866,AM1_MT_Grenfell_1,239
32,AM1_MT_Grenfell_1.0437,534.819946,19.8766455,541.56,"9.96",26,"4",4,7.34954834,false,false,false,false,false,31.6599750518799,-34.6652145385742,267.482666015625,-31.3029724179101,145.308258746181,267.482839095406,AM1_MT_Grenfell_1,437
33,AM1_MT_Grenfell_1.0477,533.402405,27.6429683,537.94,"13.22",27,"1",4,9.72851562,false,false,false,false,false,-31.6585903167725,33.0987243652344,262.321716308594,-31.3023612674461,145.307593671792,262.321881026961,AM1_MT_Grenfell_1,477
34,AM1_MT_Grenfell_1.0497,529.91687,30.1812142,529.25,"9.67",31,"1",4,8.28424072,false,false,false,false,false,-11.6589670181274,-1.89977419376373,264.993103027344,-31.3026769129515,145.307803739361,264.993113956414,AM1_MT_Grenfell_1,497
35,AM1_MT_Grenfell_1.0486,528.920227,27.3801923,523.64,"8.52",28,"0",4,8.76742554,false,false,false,false,false,-46.981014251709,-9.08245944976807,263.887725830078,-31.3027416913887,145.307432729409,263.887905188836,AM1_MT_Grenfell_1,486
36,AM1_MT_Grenfell_1.0640,517.881409,28.3917665,518.26,"8.92",29,"1",4,9.25732422,false,false,false,false,false,23.8853302001953,16.9705390930176,264.528045654297,-31.3025067248781,145.308177082888,264.528113001958,AM1_MT_Grenfell_1,640
37,AM1_MT_Grenfell_1.0183,513.070984,25.4004389,513.42,"3.69",26,"0",4,10.1074524,false,false,false,false,false,-50.1244277954102,17.0446128845215,263.273376464844,-31.3025060559558,145.307399713404,263.273596103303,AM1_MT_Grenfell_1,183
38,AM1_MT_Grenfell_1.0971,502.034302,17.1099335,532.76,"49.97",19,"1",4,5.39614868,false,false,false,false,false,-22.5131702423096,-37.6889610290527,264.935516357422,-31.3029996888588,145.307689730075,264.935667847283,AM1_MT_Grenfell_1,971
39,AM1_MT_Grenfell_1.0136,483.86972,27.8147638,482.89,"6.52",28,"0",4,9.72479248,false,false,false,false,false,43.0228271484375,-21.5805282592773,267.607452392578,-31.3028544092214,145.308378097069,267.607634010725,AM1_MT_Grenfell_1,136
40,AM1_MT_Grenfell_1.0164,474.773499,28.7021518,481.13,"8.25",28,"0",4,8.38931274,false,false,false,false,false,-42.2137756347656,-9.14296054840088,264.107849121094,-31.3027422372168,145.30748280275,264.107995263301,AM1_MT_Grenfell_1,164
41,AM1_MT_Grenfell_1.0358,450.156281,28.048858,444.94,"12.74",28,"0",4,9.04766846,false,false,false,false,false,-41.430362701416,-13.9813718795776,264.141662597656,-31.3027858739887,145.307491031234,264.141812413,AM1_MT_Grenfell_1,358
42,AM1_MT_Grenfell_1.0974,445.125519,24.9581426,449.97,"17.01",27,"2",4,7.67694092,false,false,false,false,false,23.1501770019531,4.82708597183228,265.47607421875,-31.3026162444722,145.308169361373,265.47611802537,AM1_MT_Grenfell_1,974
43,AM1_MT_Grenfell_1.0961,442.774445,12.2893505,443.25,"54.88",12,"0",4,8.98550415,false,false,false,false,false,30.0375289916992,16.9796390533447,264.896942138672,-31.3025066426737,145.308241703145,264.897035491653,AM1_MT_Grenfell_1,961
44,AM1_MT_Grenfell_1.0893,413.729248,17.3753217,411.47,"4.72",17,"0",4,7.97735596,false,false,false,false,false,31.9262752532959,-3.85931849479675,266.588562011719,-31.3026945853318,145.308261542369,266.588643011637,AM1_MT_Grenfell_1,893
45,AM1_MT_Grenfell_1.0115,411.975189,25.5729109,417.14,"10.56",26,"0",4,10.5913696,false,false,false,false,false,48.9587783813477,-4.29287242889404,266.9248046875,-31.3026984948799,145.308440445373,266.924993865192,AM1_MT_Grenfell_1,115
46,AM1_MT_Grenfell_1.0979,408.116516,21.0353047,404.71,"11.2",22,"1",4,9.24591064,false,false,false,false,false,-49.2142486572266,-9.22688484191894,263.800567626953,-31.3027429938437,145.307409272318,263.800764015876,AM1_MT_Grenfell_1,979
47,AM1_MT_Grenfell_1.0197,393.411987,25.2171218,399.31,"10.93",25,"0",4,8.34863281,false,false,false,false,false,47.1590995788574,-5.52280330657959,266.985504150391,-31.30270958747,145.308421542277,266.985680728219,AM1_MT_Grenfell_1,197
48,AM1_MT_Grenfell_1.0172,390.873962,27.4813563,391.63,"3.65",23,"8",4,8.73995972,false,false,false,false,false,-55.735294342041,-9.22105503082275,263.794586181641,-31.3027429409718,145.307340777641,263.794836164452,AM1_MT_Grenfell_1,172
49,AM1_MT_Grenfell_1.0469,387.812653,22.0824242,384.85,"4.57",22,"0",4,8.5062561,false,false,false,false,false,-7.64981603622437,-0.221201285719872,265.066223144531,-31.3026617742454,145.307845849992,265.066227730364,AM1_MT_Grenfell_1,469
50,AM1_MT_Grenfell_1.0574,387.146912,22.824131,365.15,"46.55",19,"4",4,8.62194824,false,false,false,false,false,-22.0790100097656,-44.7379684448242,265.245513916016,-31.3030632625416,145.307694290203,265.245709619485,AM1_MT_Grenfell_1,574
51,AM1_MT_Grenfell_1.0278,384.192505,26.1601985,377.53,"10.52",26,"0",4,8.87219238,false,false,false,false,false,4.38439083099365,-5.11738729476929,265.643981933594,-31.3027059320556,145.307972252781,265.643985498697,AM1_MT_Grenfell_1,278
52,AM1_MT_Grenfell_1.0365,381.659729,19.0182537,382.96,"2.69",19,"0",4,8.39907837,false,false,false,false,false,-5.94822931289673,5.09635496139526,265.213287353516,-31.3026138161982,145.307863722851,265.213292168453,AM1_MT_Grenfell_1,365
53,AM1_MT_Grenfell_1.0127,381.262726,24.0925863,379.41,"6.35",24,"0",4,9.34765625,false,false,false,false,false,4.01590538024902,-4.29811668395996,265.710540771484,-31.3026985432069,145.307968382343,265.710543487221,AM1_MT_Grenfell_1,127
54,AM1_MT_Grenfell_1.0363,378.699921,22.5470871,372.06,"8.08",23,"0",4,9.09274292,false,false,false,false,false,-20.8764839172363,15.8809728622437,264.218994140625,-31.3025165515268,145.307706922367,264.219048122875,AM1_MT_Grenfell_1,363
55,AM1_MT_Grenfell_1.0364,378.071716,20.7454115,377.66,"1.22",21,"0",4,9.61392212,false,false,false,false,false,-44.4719734191895,-16.5582256317139,264.076232910156,-31.3028091140491,145.307459083136,264.076409382746,AM1_MT_Grenfell_1,364
56,AM1_MT_Grenfell_1.0440,376.977509,25.447911,377.49,"5.97",25,"1",4,9.79510498,false,false,false,false,false,-50.2236404418945,7.72018671035767,263.55810546875,-31.302590151258,145.307398670868,263.558307710104,AM1_MT_Grenfell_1,440
57,AM1_MT_Grenfell_1.0094,372.128937,24.1411015,371.02,"14.23",25,"1",4,8.70498657,false,false,false,false,false,35.1788215637207,35.6098289489746,264.148590087891,-31.3023386202379,145.308295704645,264.148786812089,AM1_MT_Grenfell_1,94
58,AM1_MT_Grenfell_1.0305,359.791687,24.5645329,359.55,"1.86",24,"0",4,9.57763672,false,false,false,false,false,-40.0699005126953,-25.5060234069824,264.195037841797,-31.3028898127511,145.307505320578,264.195214790292,AM1_MT_Grenfell_1,305
59,AM1_MT_Grenfell_1.0895,357.639191,23.3106628,366.78,"12.16",23,"0",4,8.71566772,false,false,false,false,false,-10.324517250061,-8.15454769134521,265.114013671875,-31.3027333236104,145.307817755858,265.114027252421,AM1_MT_Grenfell_1,895
60,AM1_MT_Grenfell_1.0752,356.047943,20.1808646,352.76,"8.12",20,"4",4,8.03311157,false,false,false,false,false,-20.3634548187256,-1.9322030544281,264.733825683594,-31.3026772053024,145.307712310678,264.733858452179,AM1_MT_Grenfell_1,752
61,AM1_MT_Grenfell_1.0980,345.674408,17.4906969,349.81,"12.21",18,"0",4,7.50494385,false,false,false,false,false,-4.09821510314941,5.20346975326538,265.335571289062,-31.3026128501585,145.307883154693,265.335574734025,AM1_MT_Grenfell_1,980
62,AM1_MT_Grenfell_1.0960,343.748077,22.7862909,342.42,"4.09",23,"0",4,7.65112305,false,false,false,false,false,15.3310232162476,-19.4873962402344,266.3251953125,-31.3028355323878,145.308087232326,266.325243608095,AM1_MT_Grenfell_1,960
63,AM1_MT_Grenfell_1.0117,340.010895,23.6379415,338.31,"4.47",23,"0",4,9.96884155,false,false,false,false,false,-19.8358745574951,15.9051122665405,264.093383789062,-31.3025163338333,145.307717852517,264.093434513547,AM1_MT_Grenfell_1,117
64,AM1_MT_Grenfell_1.0982,339.438904,21.7792064,338.44,"6.26",22,"0",4,7.65893555,false,false,false,false,false,6.09983682632446,-40.9543800354004,266.149719238281,-31.3030291392001,145.307990271399,266.149854158051,AM1_MT_Grenfell_1,982
65,AM1_MT_Grenfell_1.0124,336.658264,24.0456223,336.77,"2.6",24,"0",4,9.48980713,false,false,false,false,false,-62.0181541442871,8.58060264587402,262.978363037109,-31.302582390748,145.307274785802,262.97867006436,AM1_MT_Grenfell_1,124
66,AM1_MT_Grenfell_1.0920,328.926239,24.6263385,326.72,"2.88",24,"2",4,8.4619751,false,false,false,false,false,23.8798999786377,-31.8131980895996,267.013763427734,-31.302946696318,145.308177026919,267.013887741603,AM1_MT_Grenfell_1,920
67,AM1_MT_Grenfell_1.0156,323.978699,14.9877608,320.91,"17.02",22,"5",4,5.79333496,false,false,false,false,false,35.1930160522461,33.5527191162109,264.093444824219,-31.3023571729322,145.308295853813,264.093630428426,AM1_MT_Grenfell_1,156
68,AM1_MT_Grenfell_1.0227,317.122833,20.3374043,315.53,"4.52",20,"0",4,6.17495728,false,false,false,false,false,27.8159503936768,1.18328821659088,265.929321289062,-31.3026491071081,145.308218368951,265.929381994531,AM1_MT_Grenfell_1,227
69,AM1_MT_Grenfell_1.0182,306.589539,26.0638952,307.46,"2.02",26,"1",4,7.69174194,false,false,false,false,false,0.838296175003052,12.8093099594116,264.378295898438,-31.3025442544814,145.307935005912,264.378308865242,AM1_MT_Grenfell_1,182
70,AM1_MT_Grenfell_1.0822,299.403595,25.7396847,303,"8.16",26,"1",4,7.57998657,false,false,false,false,false,-39.6639442443848,-25.1248016357422,264.367492675781,-31.3028863745897,145.307509584627,264.367665570229,AM1_MT_Grenfell_1,822
71,AM1_MT_Grenfell_1.0734,295.591431,26.6123682,298.4,"10.43",27,"0",4,5.37545776,false,false,false,false,false,8.82418727874756,-46.9852828979492,266.256561279297,-31.3030835307623,145.308018887107,266.256741126068,AM1_MT_Grenfell_1,734
72,AM1_MT_Grenfell_1.0436,284.64743,20.3956291,283.93,"7.11",21,"1",4,7.41851807,false,false,false,false,false,15.936164855957,-24.0736656188965,266.586273193359,-31.3028768950781,145.308093588582,266.586338694207,AM1_MT_Grenfell_1,436
73,AM1_MT_Grenfell_1.0968,281.503174,19.2044944,280.82,"1.99",19,"0",4,7.81491089,false,false,false,false,false,-4.07321166992188,-50.1735649108887,265.754943847656,-31.3031122853439,145.307883417097,265.75514327269,AM1_MT_Grenfell_1,968
74,AM1_MT_Grenfell_1.0109,278.115417,20.244661,282.87,"9.99",20,"0",4,9.40942383,false,false,false,false,false,23.2560691833496,18.4135341644287,264.379089355469,-31.3024937107794,145.30817047335,264.379158398136,AM1_MT_Grenfell_1,109
75,AM1_MT_Grenfell_1.0977,264.793182,21.8927741,265.67,"3.76",22,"0",4,7.10952759,false,false,false,false,false,11.5555419921875,-14.9150085449219,266.048706054688,-31.3027942949259,145.308047575982,266.048734020442,AM1_MT_Grenfell_1,977
76,AM1_MT_Grenfell_1.0231,257.641846,19.758375,247.05,"28.6",28,"18",4,2.72531128,false,false,false,false,false,48.8357810974121,-16.9451484680176,267.708343505859,-31.3028126033729,145.308439154011,267.708552888595,AM1_MT_Grenfell_1,231
77,AM1_MT_Grenfell_1.0068,256.728577,24.2235839,246.96,"12.51",25,"0",4,6.16952515,false,false,false,false,false,39.7056732177734,-9.83498859405518,267.228820800781,-31.3027484785355,145.308343254436,267.228951885365,AM1_MT_Grenfell_1,68
78,AM1_MT_Grenfell_1.0178,254.989319,17.3881114,256.29,"2.14",17,"0",4,7.65304565,false,false,false,false,false,47.7018585205078,-5.83781433105469,267.291809082031,-31.3027124284707,145.308427243204,267.291989975609,AM1_MT_Grenfell_1,178
79,AM1_MT_Grenfell_1.0702,253.984879,16.594547,255.14,"5.44",18,"1",4,4.78448486,false,false,false,false,false,22.6899604797363,-36.2667846679688,266.856414794922,-31.3029868624108,145.308164528316,266.856558633037,AM1_MT_Grenfell_1,702
80,AM1_MT_Grenfell_1.0246,250.868912,12.7100483,318.52,"215.42",12,"3",4,4.16912842,false,false,false,false,false,-19.7251567840576,-45.5765075683594,265.289672851562,-31.3030708252098,145.307719014278,265.289866807871,AM1_MT_Grenfell_1,246
81,AM1_MT_Grenfell_1.0485,241.531448,22.455287,240.61,"5.51",22,"0",4,6.1864624,false,false,false,false,false,35.943977355957,1.69703269004822,266.101440429688,-31.30264447352,145.30830374263,266.101541840471,AM1_MT_Grenfell_1,485
82,AM1_MT_Grenfell_1.0263,241.393906,20.8281904,239,"8.51",21,"2",4,7.24713135,false,false,false,false,false,10.3207960128784,12.8825378417969,264.602203369141,-31.3025435940113,145.308034606398,264.602224771865,AM1_MT_Grenfell_1,263
83,AM1_MT_Grenfell_1.0978,240.230255,17.344147,245.31,"12.57",17,"1",4,6.8531189,false,false,false,false,false,11.2431287765503,-43.895435333252,266.348541259766,-31.303055663978,145.308044294828,266.348702806048,AM1_MT_Grenfell_1,978
84,AM1_MT_Grenfell_1.0796,236.280899,19.3286747,229.52,"11.36",19,"0",4,7.63616943,false,false,false,false,false,66.0047836303711,-3.54391169548035,267.630676269531,-31.3026917392981,145.308619490076,267.63101846166,AM1_MT_Grenfell_1,796
85,AM1_MT_Grenfell_1.0937,235.552658,16.7518571,236.57,"5.53",17,"0",4,7.54846191,false,false,false,false,false,7.5578875541687,-8.61387348175049,265.989471435547,-31.3027374661954,145.308005586028,265.989481746219,AM1_MT_Grenfell_1,937
86,AM1_MT_Grenfell_1.0194,232.459442,19.3366393,230.68,"22.18",19,"1",4,4.63110352,false,false,false,false,false,46.6236038208008,-4.29302072525024,267.242645263672,-31.3026984963113,145.308415917553,267.242816958576,AM1_MT_Grenfell_1,194
87,AM1_MT_Grenfell_1.0886,227.672485,20.2198863,227.99,"12.76",21,"1",4,6.46807861,false,false,false,false,false,5.21976757049561,-25.4102268218994,266.182647705078,-31.3028889493855,145.307981027368,266.182700654492,AM1_MT_Grenfell_1,886
88,AM1_MT_Grenfell_1.0341,226.402466,20.2951267,225.51,"5.87",14,"7",4,6.96511841,false,false,false,false,false,18.9178256988525,-10.4255285263062,266.472930908203,-31.3027538050388,145.308124906633,266.472967489623,AM1_MT_Grenfell_1,341
89,AM1_MT_Grenfell_1.0959,222.555664,25.4190028,224.59,"7.66",25,"0",4,5.95443726,false,false,false,false,false,17.9147548675537,-20.3175277709961,266.469207763672,-31.3028430191481,145.308114370924,266.469265387394,AM1_MT_Grenfell_1,959
90,AM1_MT_Grenfell_1.0423,209.733383,15.2684644,211.66,"2.8",15,"0",4,6.93634033,false,false,false,false,false,-3.93392872810364,-54.879035949707,265.922271728516,-31.3031547230982,145.307884880062,265.922509972937,AM1_MT_Grenfell_1,423
91,AM1_MT_Grenfell_1.0069,205.171524,23.0033532,205.56,"5.35",23,"1",4,6.60662842,false,false,false,false,false,11.2902364730835,-34.1584968566895,266.282287597656,-31.3029678483528,145.308044789523,266.282389411703,AM1_MT_Grenfell_1,69
92,AM1_MT_Grenfell_1.0972,197.019547,16.341202,198.71,"5.33",16,"0",4,6.44787598,false,false,false,false,false,16.379415512085,-19.6748600006104,266.509704589844,-31.302837223069,145.30809824426,266.509756065905,AM1_MT_Grenfell_1,972
93,AM1_MT_Grenfell_1.0758,189.205978,19.130595,188.59,"1.21",19,"1",4,7.12988281,false,false,false,false,false,-4.79755783081055,-51.73486328125,265.85986328125,-31.3031263663927,145.307875808796,265.860075733624,AM1_MT_Grenfell_1,758
94,AM1_MT_Grenfell_1.0116,188.424683,17.9877207,185.91,"6.22",19,"1",4,5.18634033,false,false,false,false,false,-5.16531372070312,-51.3645477294922,265.650177001953,-31.3031230265994,145.307871946008,265.650386735797,AM1_MT_Grenfell_1,116
95,AM1_MT_Grenfell_1.0629,185.217926,18.0223241,187.89,"3.38",18,"1",4,6.11428833,false,false,false,false,false,27.1064395904541,-11.5285482406616,266.683746337891,-31.3027637528023,145.30821091683,266.683814343065,AM1_MT_Grenfell_1,629
96,AM1_MT_Grenfell_1.0648,182.363892,13.2528514,190.91,"27.08",13,"0",4,3.84561157,false,false,false,false,false,22.75954246521,-0.277939140796661,266.270782470703,-31.3026622857558,145.308165258384,266.270823045634,AM1_MT_Grenfell_1,648
97,AM1_MT_Grenfell_1.0230,170.759125,19.2320034,169.33,"3.01",18,"1",4,3.22628784,false,false,false,false,false,3.26615881919861,-1.4748330116272,265.712280273438,-31.3026730805377,145.307960507277,265.712281279266,AM1_MT_Grenfell_1,230
98,AM1_MT_Grenfell_1.0235,170.558105,17.1949074,171.45,"1.44",17,"1",4,7.93359375,false,false,false,false,false,-14.4528436660767,16.9812564849854,264.232788085938,-31.3025066283681,145.307774393784,264.232827139087,AM1_MT_Grenfell_1,235
99,AM1_MT_Grenfell_1.0114,166.669022,2.61912793,136.62,"40.36",5,"3",4,5.81503296,false,false,false,false,false,-0.833155930042267,41.7643585205078,262.908843994141,-31.3022831141186,145.307917449652,262.908981326967,AM1_MT_Grenfell_1,114
100,AM1_MT_Grenfell_1.0508,151.15062,12.1741854,155.41,"9.88",12,"0",4,6.20809937,false,false,false,false,false,31.2176189422607,-1.57591187953949,266.344421386719,-31.3026739917339,145.30825409885,266.344497906975,AM1_MT_Grenfell_1,508
101,AM1_MT_Grenfell_1.0394,150.276825,16.3301378,149.63,"1.93",16,"0",4,7.18942261,false,false,false,false,false,-44.1873779296875,-8.63041400909424,264.2724609375,-31.3027376145783,145.30746207279,264.272619715892,AM1_MT_Grenfell_1,394
102,AM1_MT_Grenfell_1.0181,148.552948,17.7409485,153.03,"10.97",18,"0",4,3.39831543,false,false,false,false,false,7.66695690155029,-30.9774723052979,266.072906494141,-31.3029391593252,145.308006731823,266.07298662141,AM1_MT_Grenfell_1,181
103,AM1_MT_Grenfell_1.0671,147.203369,17.3403785,148.02,"3.14",17,"1",4,6.32077026,false,false,false,false,false,-10.6238899230957,-11.1048278808594,265.3173828125,-31.3027599316363,145.30781461133,265.317401356995,AM1_MT_Grenfell_1,671
104,AM1_MT_Grenfell_1.0386,145.325241,14.6587119,145.42,"6.93",15,"0",4,8.35650635,false,false,false,false,false,13.770435333252,11.7042045593262,264.890686035156,-31.3025542211516,145.308070840075,264.890711667016,AM1_MT_Grenfell_1,386
105,AM1_MT_Grenfell_1.0992,144.066101,17.1833098,141.45,"3.52",18,"0",4,6.34637451,false,false,false,false,false,-6.36607980728149,12.2835931777954,264.513732910156,-31.3025489958099,145.307859333947,264.513747958466,AM1_MT_Grenfell_1,992
106,AM1_MT_Grenfell_1.0990,141.295258,15.7414302,141.62,"1.54",17,"2",4,5.99411011,false,false,false,false,false,-37.9496650695801,29.0704860687256,263.254699707031,-31.3023975972514,145.307527592802,263.25487900991,AM1_MT_Grenfell_1,990
107,AM1_MT_Grenfell_1.0427,140.159714,15.0344878,139.57,"1.74",15,"0",4,7.24533081,false,false,false,false,false,27.4026184082031,-7.48247528076172,266.415924072266,-31.302727262023,145.308214027685,266.415987286717,AM1_MT_Grenfell_1,427
108,AM1_MT_Grenfell_1.0121,139.640732,18.616876,138.59,"2.78",19,"0",4,3.76290894,false,false,false,false,false,3.58907437324524,-1.7923367023468,265.517059326172,-31.3026759440441,145.307963899062,265.517060587183,AM1_MT_Grenfell_1,121
109,AM1_MT_Grenfell_1.0169,138.534714,9.6780777,138.05,"1.9",10,"0",4,6.15222168,false,false,false,false,false,6.2624135017395,16.0308799743652,264.299377441406,-31.3025151997142,145.307991978712,264.29940073844,AM1_MT_Grenfell_1,169
