fid,id,left,top,right,bottom,ALS_20m_1mean
"117725","117725",16174764.9785,-3674304.1298,16174784.9785,-3674324.1298,4.51122468792443
"117724","117724",16174764.9785,-3674284.1298,16174784.9785,-3674304.1298,3.25703946426447
"117723","117723",16174764.9785,-3674264.1298,16174784.9785,-3674284.1298,1.88401961790649
"117722","117722",16174764.9785,-3674244.1298,16174784.9785,-3674264.1298,1.66175064398692
"117721","117721",16174764.9785,-3674224.1298,16174784.9785,-3674244.1298,3.49829741250272
"117720","117720",16174764.9785,-3674204.1298,16174784.9785,-3674224.1298,5.00099606020416
"117719","117719",16174764.9785,-3674184.1298,16174784.9785,-3674204.1298,4.92564300867925
"117718","117718",16174764.9785,-3674164.1298,16174784.9785,-3674184.1298,1.94276872993637
"117717","117717",16174764.9785,-3674144.1298,16174784.9785,-3674164.1298,0.666916839881545
"117716","117716",16174764.9785,-3674124.1298,16174784.9785,-3674144.1298,0.217839995542398
"117715","117715",16174764.9785,-3674104.1298,16174784.9785,-3674124.1298,0.147576381085303
"117714","117714",16174764.9785,-3674084.1298,16174784.9785,-3674104.1298,0.0817779895930129
"117713","117713",16174764.9785,-3674064.1298,16174784.9785,-3674084.1298,0.0522135544097838
"117712","117712",16174764.9785,-3674044.1298,16174784.9785,-3674064.1298,0.168253941495019
"117711","117711",16174764.9785,-3674024.1298,16174784.9785,-3674044.1298,0.174622214756498
"117710","117710",16174764.9785,-3674004.1298,16174784.9785,-3674024.1298,0.0307652322586495
"117709","117709",16174764.9785,-3673984.1298,16174784.9785,-3674004.1298,0.00443281680475653
"117751","117751",16174764.9785,-3674824.1298,16174784.9785,-3674844.1298,0.116065292893087
"117752","117752",16174764.9785,-3674844.1298,16174784.9785,-3674864.1298,0.410304287857928
"117753","117753",16174764.9785,-3674864.1298,16174784.9785,-3674884.1298,1.87518250242657
"117754","117754",16174764.9785,-3674884.1298,16174784.9785,-3674904.1298,3.85339298074338
"117755","117755",16174764.9785,-3674904.1298,16174784.9785,-3674924.1298,3.62617488822033
"117756","117756",16174764.9785,-3674924.1298,16174784.9785,-3674944.1298,2.03195440187936
"117757","117757",16174764.9785,-3674944.1298,16174784.9785,-3674964.1298,2.76347450377806
"117758","117758",16174764.9785,-3674964.1298,16174784.9785,-3674984.1298,3.32418914820185
"117759","117759",16174764.9785,-3674984.1298,16174784.9785,-3675004.1298,
"112648","112648",16174584.9785,-3673744.1298,16174604.9785,-3673764.1298,0.32796820551157
"113209","113209",16174604.9785,-3673744.1298,16174624.9785,-3673764.1298,0.468654342126846
"113210","113210",16174604.9785,-3673764.1298,16174624.9785,-3673784.1298,0.583311781545595
"113211","113211",16174604.9785,-3673784.1298,16174624.9785,-3673804.1298,0.656426230629722
"113770","113770",16174624.9785,-3673744.1298,16174644.9785,-3673764.1298,0.902878750162789
"113771","113771",16174624.9785,-3673764.1298,16174644.9785,-3673784.1298,0.578835507148958
"113772","113772",16174624.9785,-3673784.1298,16174644.9785,-3673804.1298,0.768238581600801
"113773","113773",16174624.9785,-3673804.1298,16174644.9785,-3673824.1298,0.509732203821861
"113774","113774",16174624.9785,-3673824.1298,16174644.9785,-3673844.1298,0.237708012662805
"114331","114331",16174644.9785,-3673744.1298,16174664.9785,-3673764.1298,0.9981401471138
"114332","114332",16174644.9785,-3673764.1298,16174664.9785,-3673784.1298,0.452169796847419
"114333","114333",16174644.9785,-3673784.1298,16174664.9785,-3673804.1298,0.640699600354796
"114334","114334",16174644.9785,-3673804.1298,16174664.9785,-3673824.1298,0.498506498756687
"114335","114335",16174644.9785,-3673824.1298,16174664.9785,-3673844.1298,0.395722700887256
"114336","114336",16174644.9785,-3673844.1298,16174664.9785,-3673864.1298,0.603198509702284
"114337","114337",16174644.9785,-3673864.1298,16174664.9785,-3673884.1298,0.653203153775798
"114342","114342",16174644.9785,-3673964.1298,16174664.9785,-3673984.1298,0.972379775150963
"114892","114892",16174664.9785,-3673744.1298,16174684.9785,-3673764.1298,0.162806584540019
"114893","114893",16174664.9785,-3673764.1298,16174684.9785,-3673784.1298,0.317475203695388
"114894","114894",16174664.9785,-3673784.1298,16174684.9785,-3673804.1298,1.04334503705426
"114895","114895",16174664.9785,-3673804.1298,16174684.9785,-3673824.1298,1.00023069150204
"114896","114896",16174664.9785,-3673824.1298,16174684.9785,-3673844.1298,0.39694212681723
"114897","114897",16174664.9785,-3673844.1298,16174684.9785,-3673864.1298,0.911194023608543
"114898","114898",16174664.9785,-3673864.1298,16174684.9785,-3673884.1298,0.592325571867343
"114899","114899",16174664.9785,-3673884.1298,16174684.9785,-3673904.1298,0.307486511547776
"114900","114900",16174664.9785,-3673904.1298,16174684.9785,-3673924.1298,0.81977438531964
"114901","114901",16174664.9785,-3673924.1298,16174684.9785,-3673944.1298,2.04163881865415
"114902","114902",16174664.9785,-3673944.1298,16174684.9785,-3673964.1298,2.03076784222828
"114903","114903",16174664.9785,-3673964.1298,16174684.9785,-3673984.1298,3.101858262516
"114906","114906",16174664.9785,-3674024.1298,16174684.9785,-3674044.1298,2.24205595917172
"114905","114905",16174664.9785,-3674004.1298,16174684.9785,-3674024.1298,3.61563732823351
"114904","114904",16174664.9785,-3673984.1298,16174684.9785,-3674004.1298,3.49520812978866
"115488","115488",16174684.9785,-3674444.1298,16174704.9785,-3674464.1298,1.11861205101013
"115487","115487",16174684.9785,-3674424.1298,16174704.9785,-3674444.1298,2.88298314223758
"115486","115486",16174684.9785,-3674404.1298,16174704.9785,-3674424.1298,4.11486159155379
"115485","115485",16174684.9785,-3674384.1298,16174704.9785,-3674404.1298,1.39989943149862
"115484","115484",16174684.9785,-3674364.1298,16174704.9785,-3674384.1298,0.754402354861913
"115483","115483",16174684.9785,-3674344.1298,16174704.9785,-3674364.1298,0.89055323600769
"115478","115478",16174684.9785,-3674244.1298,16174704.9785,-3674264.1298,4.17429268360138
"115477","115477",16174684.9785,-3674224.1298,16174704.9785,-3674244.1298,2.66049233116681
"115476","115476",16174684.9785,-3674204.1298,16174704.9785,-3674224.1298,1.47293162575135
"115475","115475",16174684.9785,-3674184.1298,16174704.9785,-3674204.1298,0.696746568188413
"115474","115474",16174684.9785,-3674164.1298,16174704.9785,-3674184.1298,0.360508429316374
"115472","115472",16174684.9785,-3674124.1298,16174704.9785,-3674144.1298,0.362959559684918
"115471","115471",16174684.9785,-3674104.1298,16174704.9785,-3674124.1298,0.199305718437957
"115470","115470",16174684.9785,-3674084.1298,16174704.9785,-3674104.1298,0.155506827658223
"115469","115469",16174684.9785,-3674064.1298,16174704.9785,-3674084.1298,0.354165116713978
"115468","115468",16174684.9785,-3674044.1298,16174704.9785,-3674064.1298,0.257981598268233
"115467","115467",16174684.9785,-3674024.1298,16174704.9785,-3674044.1298,0.954067663632114
"115466","115466",16174684.9785,-3674004.1298,16174704.9785,-3674024.1298,3.00066007131185
"115465","115465",16174684.9785,-3673984.1298,16174704.9785,-3674004.1298,5.29134323928148
"115511","115511",16174684.9785,-3674904.1298,16174704.9785,-3674924.1298,
"116051","116051",16174704.9785,-3674484.1298,16174724.9785,-3674504.1298,1.89614708988882
"116050","116050",16174704.9785,-3674464.1298,16174724.9785,-3674484.1298,1.69243034577266
"116049","116049",16174704.9785,-3674444.1298,16174724.9785,-3674464.1298,1.59432106759616
"116048","116048",16174704.9785,-3674424.1298,16174724.9785,-3674444.1298,1.53692257608278
"116047","116047",16174704.9785,-3674404.1298,16174724.9785,-3674424.1298,1.67375228819506
"116046","116046",16174704.9785,-3674384.1298,16174724.9785,-3674404.1298,1.45763326434372
"116045","116045",16174704.9785,-3674364.1298,16174724.9785,-3674384.1298,1.67513663719355
"116044","116044",16174704.9785,-3674344.1298,16174724.9785,-3674364.1298,1.33040417493712
"116043","116043",16174704.9785,-3674324.1298,16174724.9785,-3674344.1298,0.965963016655365
"116042","116042",16174704.9785,-3674304.1298,16174724.9785,-3674324.1298,1.53898841473791
"116041","116041",16174704.9785,-3674284.1298,16174724.9785,-3674304.1298,1.26350932574573
"116040","116040",16174704.9785,-3674264.1298,16174724.9785,-3674284.1298,1.47583445501777
"116039","116039",16174704.9785,-3674244.1298,16174724.9785,-3674264.1298,2.61002832025626
"116038","116038",16174704.9785,-3674224.1298,16174724.9785,-3674244.1298,2.00443622495374
"116037","116037",16174704.9785,-3674204.1298,16174724.9785,-3674224.1298,1.47086416739035
"116036","116036",16174704.9785,-3674184.1298,16174724.9785,-3674204.1298,0.778363484943351
"116035","116035",16174704.9785,-3674164.1298,16174724.9785,-3674184.1298,0.391681124185326
"116034","116034",16174704.9785,-3674144.1298,16174724.9785,-3674164.1298,0.500619164141333
"116033","116033",16174704.9785,-3674124.1298,16174724.9785,-3674144.1298,0.385424703128179
"116032","116032",16174704.9785,-3674104.1298,16174724.9785,-3674124.1298,0.188873980786917
"116031","116031",16174704.9785,-3674084.1298,16174724.9785,-3674104.1298,0.0946373071352624
"116030","116030",16174704.9785,-3674064.1298,16174724.9785,-3674084.1298,0.120965602505824
"116029","116029",16174704.9785,-3674044.1298,16174724.9785,-3674064.1298,0.0989200205018726
"116028","116028",16174704.9785,-3674024.1298,16174724.9785,-3674044.1298,0.349690760972436
"116027","116027",16174704.9785,-3674004.1298,16174724.9785,-3674024.1298,1.51722631138614
"116026","116026",16174704.9785,-3673984.1298,16174724.9785,-3674004.1298,5.28103927530632
"116071","116071",16174704.9785,-3674884.1298,16174724.9785,-3674904.1298,2.68910326320884
"116072","116072",16174704.9785,-3674904.1298,16174724.9785,-3674924.1298,2.85046153629527
"116073","116073",16174704.9785,-3674924.1298,16174724.9785,-3674944.1298,2.98457635939121
"115453","115453",16174684.9785,-3673744.1298,16174704.9785,-3673764.1298,0.21231834086531
"115454","115454",16174684.9785,-3673764.1298,16174704.9785,-3673784.1298,0.869306214526939
"115455","115455",16174684.9785,-3673784.1298,16174704.9785,-3673804.1298,1.68518611898186
"115456","115456",16174684.9785,-3673804.1298,16174704.9785,-3673824.1298,1.1381118619514
"115457","115457",16174684.9785,-3673824.1298,16174704.9785,-3673844.1298,0.425864990246602
"115458","115458",16174684.9785,-3673844.1298,16174704.9785,-3673864.1298,0.350400515624601
"115459","115459",16174684.9785,-3673864.1298,16174704.9785,-3673884.1298,0.931302573962812
"115460","115460",16174684.9785,-3673884.1298,16174704.9785,-3673904.1298,1.89890441617978
"115461","115461",16174684.9785,-3673904.1298,16174704.9785,-3673924.1298,1.96921031114262
"115462","115462",16174684.9785,-3673924.1298,16174704.9785,-3673944.1298,3.577338961784
"115463","115463",16174684.9785,-3673944.1298,16174704.9785,-3673964.1298,4.65821635394261
"115464","115464",16174684.9785,-3673964.1298,16174704.9785,-3673984.1298,5.74453895418053
"116014","116014",16174704.9785,-3673744.1298,16174724.9785,-3673764.1298,0.72868943172507
"116015","116015",16174704.9785,-3673764.1298,16174724.9785,-3673784.1298,0.940432138568638
"116016","116016",16174704.9785,-3673784.1298,16174724.9785,-3673804.1298,1.00856434517219
"116017","116017",16174704.9785,-3673804.1298,16174724.9785,-3673824.1298,0.660577258358051
"116018","116018",16174704.9785,-3673824.1298,16174724.9785,-3673844.1298,0.402116065838448
"116019","116019",16174704.9785,-3673844.1298,16174724.9785,-3673864.1298,0.686606451869011
"116020","116020",16174704.9785,-3673864.1298,16174724.9785,-3673884.1298,4.04378844911046
"116021","116021",16174704.9785,-3673884.1298,16174724.9785,-3673904.1298,7.30472333131436
"116022","116022",16174704.9785,-3673904.1298,16174724.9785,-3673924.1298,4.42870622213324
"116023","116023",16174704.9785,-3673924.1298,16174724.9785,-3673944.1298,2.56367279628692
"116024","116024",16174704.9785,-3673944.1298,16174724.9785,-3673964.1298,2.78526723900468
"116025","116025",16174704.9785,-3673964.1298,16174724.9785,-3673984.1298,4.58855946135317
"116575","116575",16174724.9785,-3673744.1298,16174744.9785,-3673764.1298,1.08027820480548
"116576","116576",16174724.9785,-3673764.1298,16174744.9785,-3673784.1298,1.38219717577991
"116577","116577",16174724.9785,-3673784.1298,16174744.9785,-3673804.1298,1.24467604050159
"116578","116578",16174724.9785,-3673804.1298,16174744.9785,-3673824.1298,1.02594979953603
"116579","116579",16174724.9785,-3673824.1298,16174744.9785,-3673844.1298,0.532716858816785
"116580","116580",16174724.9785,-3673844.1298,16174744.9785,-3673864.1298,0.448415176219201
"116581","116581",16174724.9785,-3673864.1298,16174744.9785,-3673884.1298,3.61353959943552
"116582","116582",16174724.9785,-3673884.1298,16174744.9785,-3673904.1298,8.28775894489174
"116583","116583",16174724.9785,-3673904.1298,16174744.9785,-3673924.1298,4.80492935468411
"116584","116584",16174724.9785,-3673924.1298,16174744.9785,-3673944.1298,1.43260940254193
"116585","116585",16174724.9785,-3673944.1298,16174744.9785,-3673964.1298,0.344524223994323
"116586","116586",16174724.9785,-3673964.1298,16174744.9785,-3673984.1298,2.34067965188252
"116616","116616",16174724.9785,-3674564.1298,16174744.9785,-3674584.1298,4.13325040990656
"116615","116615",16174724.9785,-3674544.1298,16174744.9785,-3674564.1298,4.86079904128765
"116614","116614",16174724.9785,-3674524.1298,16174744.9785,-3674544.1298,4.39181432970033
"116613","116613",16174724.9785,-3674504.1298,16174744.9785,-3674524.1298,4.1176512381393
"116612","116612",16174724.9785,-3674484.1298,16174744.9785,-3674504.1298,2.84286575371622
"116611","116611",16174724.9785,-3674464.1298,16174744.9785,-3674484.1298,2.28580985602065
"116610","116610",16174724.9785,-3674444.1298,16174744.9785,-3674464.1298,2.73065307833191
"116609","116609",16174724.9785,-3674424.1298,16174744.9785,-3674444.1298,2.98802933970402
"116608","116608",16174724.9785,-3674404.1298,16174744.9785,-3674424.1298,1.86087076480965
"116607","116607",16174724.9785,-3674384.1298,16174744.9785,-3674404.1298,1.60310755847038
"116606","116606",16174724.9785,-3674364.1298,16174744.9785,-3674384.1298,3.03801030233208
"116605","116605",16174724.9785,-3674344.1298,16174744.9785,-3674364.1298,2.97013800426372
"116604","116604",16174724.9785,-3674324.1298,16174744.9785,-3674344.1298,3.01370526593307
"116603","116603",16174724.9785,-3674304.1298,16174744.9785,-3674324.1298,3.68122856814806
"116602","116602",16174724.9785,-3674284.1298,16174744.9785,-3674304.1298,1.63276737747927
"116601","116601",16174724.9785,-3674264.1298,16174744.9785,-3674284.1298,1.87517292107957
"116600","116600",16174724.9785,-3674244.1298,16174744.9785,-3674264.1298,1.16989384375023
"116599","116599",16174724.9785,-3674224.1298,16174744.9785,-3674244.1298,0.611817209816468
"116598","116598",16174724.9785,-3674204.1298,16174744.9785,-3674224.1298,0.763448703943858
"116597","116597",16174724.9785,-3674184.1298,16174744.9785,-3674204.1298,0.921926518349285
"116596","116596",16174724.9785,-3674164.1298,16174744.9785,-3674184.1298,0.583783774098517
"116595","116595",16174724.9785,-3674144.1298,16174744.9785,-3674164.1298,0.194627800723936
"116594","116594",16174724.9785,-3674124.1298,16174744.9785,-3674144.1298,0.136383102736259
"116593","116593",16174724.9785,-3674104.1298,16174744.9785,-3674124.1298,0.101528164015239
"116592","116592",16174724.9785,-3674084.1298,16174744.9785,-3674104.1298,0.0461913203701557
"116591","116591",16174724.9785,-3674064.1298,16174744.9785,-3674084.1298,0.0182488738256706
"116590","116590",16174724.9785,-3674044.1298,16174744.9785,-3674064.1298,0.0274950369152819
"116589","116589",16174724.9785,-3674024.1298,16174744.9785,-3674044.1298,0.126439740049587
"116588","116588",16174724.9785,-3674004.1298,16174744.9785,-3674024.1298,0.581768732530781
"116587","116587",16174724.9785,-3673984.1298,16174744.9785,-3674004.1298,2.75138012059959
"116631","116631",16174724.9785,-3674864.1298,16174744.9785,-3674884.1298,4.83201521156478
"116632","116632",16174724.9785,-3674884.1298,16174744.9785,-3674904.1298,3.97631594913977
"116633","116633",16174724.9785,-3674904.1298,16174744.9785,-3674924.1298,3.7152723639923
"116634","116634",16174724.9785,-3674924.1298,16174744.9785,-3674944.1298,3.01174075171451
"120029","120029",16174844.9785,-3675504.1298,16174864.9785,-3675524.1298,6.42610043834432
"120028","120028",16174844.9785,-3675484.1298,16174864.9785,-3675504.1298,4.64820741428622
"120027","120027",16174844.9785,-3675464.1298,16174864.9785,-3675484.1298,3.2369287807299
"120026","120026",16174844.9785,-3675444.1298,16174864.9785,-3675464.1298,4.1383797100122
"120025","120025",16174844.9785,-3675424.1298,16174864.9785,-3675444.1298,3.53103223232662
"120024","120024",16174844.9785,-3675404.1298,16174864.9785,-3675424.1298,3.09247562604792
"120023","120023",16174844.9785,-3675384.1298,16174864.9785,-3675404.1298,3.34494215346293
"120022","120022",16174844.9785,-3675364.1298,16174864.9785,-3675384.1298,3.20632488081416
"120021","120021",16174844.9785,-3675344.1298,16174864.9785,-3675364.1298,2.71323222129658
"120020","120020",16174844.9785,-3675324.1298,16174864.9785,-3675344.1298,3.33174395255814
"120019","120019",16174844.9785,-3675304.1298,16174864.9785,-3675324.1298,1.59297613131145
"120018","120018",16174844.9785,-3675284.1298,16174864.9785,-3675304.1298,1.47546798470084
"120017","120017",16174844.9785,-3675264.1298,16174864.9785,-3675284.1298,1.1713883377689
"120016","120016",16174844.9785,-3675244.1298,16174864.9785,-3675264.1298,4.21916169810234
"120015","120015",16174844.9785,-3675224.1298,16174864.9785,-3675244.1298,4.70168712064882
"120014","120014",16174844.9785,-3675204.1298,16174864.9785,-3675224.1298,1.52945493555558
"120013","120013",16174844.9785,-3675184.1298,16174864.9785,-3675204.1298,1.44769995198118
"120012","120012",16174844.9785,-3675164.1298,16174864.9785,-3675184.1298,4.40508393266448
"120011","120011",16174844.9785,-3675144.1298,16174864.9785,-3675164.1298,4.63489849695285
"120010","120010",16174844.9785,-3675124.1298,16174864.9785,-3675144.1298,3.63611888967078
"120009","120009",16174844.9785,-3675104.1298,16174864.9785,-3675124.1298,4.86362087273639
"120008","120008",16174844.9785,-3675084.1298,16174864.9785,-3675104.1298,5.35263447365193
"120007","120007",16174844.9785,-3675064.1298,16174864.9785,-3675084.1298,3.60802433125534
"120006","120006",16174844.9785,-3675044.1298,16174864.9785,-3675064.1298,2.28330761532194
"120005","120005",16174844.9785,-3675024.1298,16174864.9785,-3675044.1298,2.16635237717322
"120004","120004",16174844.9785,-3675004.1298,16174864.9785,-3675024.1298,1.15555518011338
"119460","119460",16174824.9785,-3675344.1298,16174844.9785,-3675364.1298,3.25330142717104
"119459","119459",16174824.9785,-3675324.1298,16174844.9785,-3675344.1298,3.75447711585992
"119458","119458",16174824.9785,-3675304.1298,16174844.9785,-3675324.1298,1.63097045703911
"119457","119457",16174824.9785,-3675284.1298,16174844.9785,-3675304.1298,0.969404658293113
"119456","119456",16174824.9785,-3675264.1298,16174844.9785,-3675284.1298,1.17870517876642
"119455","119455",16174824.9785,-3675244.1298,16174844.9785,-3675264.1298,2.0044329461884
"119454","119454",16174824.9785,-3675224.1298,16174844.9785,-3675244.1298,1.676089622958
"119453","119453",16174824.9785,-3675204.1298,16174844.9785,-3675224.1298,0.77445878336401
"119452","119452",16174824.9785,-3675184.1298,16174844.9785,-3675204.1298,1.11949543248523
"119451","119451",16174824.9785,-3675164.1298,16174844.9785,-3675184.1298,4.3512997369758
"119450","119450",16174824.9785,-3675144.1298,16174844.9785,-3675164.1298,5.34708293143045
"119449","119449",16174824.9785,-3675124.1298,16174844.9785,-3675144.1298,4.17960060969625
"119448","119448",16174824.9785,-3675104.1298,16174844.9785,-3675124.1298,5.64139445310571
"119447","119447",16174824.9785,-3675084.1298,16174844.9785,-3675104.1298,5.18414764577243
"119446","119446",16174824.9785,-3675064.1298,16174844.9785,-3675084.1298,2.83736250563564
"119445","119445",16174824.9785,-3675044.1298,16174844.9785,-3675064.1298,3.73925865458289
"119444","119444",16174824.9785,-3675024.1298,16174844.9785,-3675044.1298,4.20642183032634
"119443","119443",16174824.9785,-3675004.1298,16174844.9785,-3675024.1298,4.31964732904714
"118898","118898",16174804.9785,-3675324.1298,16174824.9785,-3675344.1298,5.60319340610069
"118897","118897",16174804.9785,-3675304.1298,16174824.9785,-3675324.1298,3.69861429247082
"118896","118896",16174804.9785,-3675284.1298,16174824.9785,-3675304.1298,1.38830582775671
