id,left,top,right,bottom,row_index,col_index,CNN_30m_1mean
38252,338113.875535156,6534235.8492533,338143.875535156,6534205.8492533,255,118,0.777844193379084
38253,338113.875535156,6534205.8492533,338143.875535156,6534175.8492533,256,118,0.875302855388538
38574,338143.875535156,6534235.8492533,338173.875535156,6534205.8492533,255,119,1.16467967468595
38575,338143.875535156,6534205.8492533,338173.875535156,6534175.8492533,256,119,0.8731450881888
38576,338143.875535156,6534175.8492533,338173.875535156,6534145.8492533,257,119,0.693616792160809
38577,338143.875535156,6534145.8492533,338173.875535156,6534115.8492533,258,119,0.45353136472404
38896,338173.875535156,6534235.8492533,338203.875535156,6534205.8492533,255,120,0.458656571053978
38897,338173.875535156,6534205.8492533,338203.875535156,6534175.8492533,256,120,0.73722573657742
38898,338173.875535156,6534175.8492533,338203.875535156,6534145.8492533,257,120,0.862955370914878
38899,338173.875535156,6534145.8492533,338203.875535156,6534115.8492533,258,120,1.02254682713784
38900,338173.875535156,6534115.8492533,338203.875535156,6534085.8492533,259,120,0.642073892796716
38901,338173.875535156,6534085.8492533,338203.875535156,6534055.8492533,260,120,1.42279885487354
38902,338173.875535156,6534055.8492533,338203.875535156,6534025.8492533,261,120,2.61883777918269
38903,338173.875535156,6534025.8492533,338203.875535156,6533995.8492533,262,120,3.45216523206212
38904,338173.875535156,6533995.8492533,338203.875535156,6533965.8492533,263,120,3.89626060502004
39218,338203.875535156,6534235.8492533,338233.875535156,6534205.8492533,255,121,0.594703903828059
39219,338203.875535156,6534205.8492533,338233.875535156,6534175.8492533,256,121,1.39441882259098
39220,338203.875535156,6534175.8492533,338233.875535156,6534145.8492533,257,121,1.10563776418146
39221,338203.875535156,6534145.8492533,338233.875535156,6534115.8492533,258,121,0.645261766826303
39222,338203.875535156,6534115.8492533,338233.875535156,6534085.8492533,259,121,3.23969173693288
39223,338203.875535156,6534085.8492533,338233.875535156,6534055.8492533,260,121,2.95742943063199
39224,338203.875535156,6534055.8492533,338233.875535156,6534025.8492533,261,121,3.9930600328139
39225,338203.875535156,6534025.8492533,338233.875535156,6533995.8492533,262,121,4.82853271425987
39226,338203.875535156,6533995.8492533,338233.875535156,6533965.8492533,263,121,1.3691558083211
39227,338203.875535156,6533965.8492533,338233.875535156,6533935.8492533,264,121,0.271788884729031
39228,338203.875535156,6533935.8492533,338233.875535156,6533905.8492533,265,121,0.188790655199145
39229,338203.875535156,6533905.8492533,338233.875535156,6533875.8492533,266,121,0.500038253510092
39230,338203.875535156,6533875.8492533,338233.875535156,6533845.8492533,267,121,0.526684304209998
39231,338203.875535156,6533845.8492533,338233.875535156,6533815.8492533,268,121,1.51094219274819
39232,338203.875535156,6533815.8492533,338233.875535156,6533785.8492533,269,121,2.802026676359
39233,338203.875535156,6533785.8492533,338233.875535156,6533755.8492533,270,121,1.89193974120384
39234,338203.875535156,6533755.8492533,338233.875535156,6533725.8492533,271,121,1.61770313776146
39235,338203.875535156,6533725.8492533,338233.875535156,6533695.8492533,272,121,0.787529322418194
39236,338203.875535156,6533695.8492533,338233.875535156,6533665.8492533,273,121,1.15227430196833
39237,338203.875535156,6533665.8492533,338233.875535156,6533635.8492533,274,121,3.26913764637338
39238,338203.875535156,6533635.8492533,338233.875535156,6533605.8492533,275,121,1.44740202545461
39251,338203.875535156,6533245.8492533,338233.875535156,6533215.8492533,288,121,4.79858732223511
39540,338233.875535156,6534235.8492533,338263.875535156,6534205.8492533,255,122,1.0275515588073
39541,338233.875535156,6534205.8492533,338263.875535156,6534175.8492533,256,122,1.55082737268906
39542,338233.875535156,6534175.8492533,338263.875535156,6534145.8492533,257,122,1.32355926288133
39543,338233.875535156,6534145.8492533,338263.875535156,6534115.8492533,258,122,0.538589438578859
39544,338233.875535156,6534115.8492533,338263.875535156,6534085.8492533,259,122,4.9946328208019
39545,338233.875535156,6534085.8492533,338263.875535156,6534055.8492533,260,122,2.47507817661927
39546,338233.875535156,6534055.8492533,338263.875535156,6534025.8492533,261,122,0.886334549940802
39547,338233.875535156,6534025.8492533,338263.875535156,6533995.8492533,262,122,2.34827244663559
39548,338233.875535156,6533995.8492533,338263.875535156,6533965.8492533,263,122,0.208839709008237
39549,338233.875535156,6533965.8492533,338263.875535156,6533935.8492533,264,122,0.0445154096747385
39550,338233.875535156,6533935.8492533,338263.875535156,6533905.8492533,265,122,0.17450367566799
39551,338233.875535156,6533905.8492533,338263.875535156,6533875.8492533,266,122,0.467094458375672
39552,338233.875535156,6533875.8492533,338263.875535156,6533845.8492533,267,122,0.731528417693992
39553,338233.875535156,6533845.8492533,338263.875535156,6533815.8492533,268,122,1.35799411218994
39554,338233.875535156,6533815.8492533,338263.875535156,6533785.8492533,269,122,1.21389445304678
39555,338233.875535156,6533785.8492533,338263.875535156,6533755.8492533,270,122,1.76024928300277
39556,338233.875535156,6533755.8492533,338263.875535156,6533725.8492533,271,122,3.25576763113628
39557,338233.875535156,6533725.8492533,338263.875535156,6533695.8492533,272,122,2.4907341280762
39558,338233.875535156,6533695.8492533,338263.875535156,6533665.8492533,273,122,2.12482337077011
39559,338233.875535156,6533665.8492533,338263.875535156,6533635.8492533,274,122,2.02076650274337
39560,338233.875535156,6533635.8492533,338263.875535156,6533605.8492533,275,122,2.94809196895667
39561,338233.875535156,6533605.8492533,338263.875535156,6533575.8492533,276,122,3.23174827564791
39562,338233.875535156,6533575.8492533,338263.875535156,6533545.8492533,277,122,4.33016387147097
39563,338233.875535156,6533545.8492533,338263.875535156,6533515.8492533,278,122,5.44943143997663
