,MAE (m3),MAE (%),RMSE (m3),RMSE (%),MBE (m3),MBE (%),R2
Mean,0.06199,12.39%,0.09124,18.31%,0.00004,0.01%,0.93
Standard Deviation,0.00918,1.65%,0.01304,2.94%,0.01569,3.39%,0.01
