fid,id,left,top,right,bottom,row_index,col_index,CNN_30m_46mean
"38252","38252",338113.875535156,6534235.8492533,338143.875535156,6534205.8492533,"255","118",0.769403729836146
"38253","38253",338113.875535156,6534205.8492533,338143.875535156,6534175.8492533,"256","118",0.828667546285165
"38574","38574",338143.875535156,6534235.8492533,338173.875535156,6534205.8492533,"255","119",1.15531927687781
"38575","38575",338143.875535156,6534205.8492533,338173.875535156,6534175.8492533,"256","119",0.979304426451492
"38576","38576",338143.875535156,6534175.8492533,338173.875535156,6534145.8492533,"257","119",0.812702612575243
"38577","38577",338143.875535156,6534145.8492533,338173.875535156,6534115.8492533,"258","119",0.466792000830173
"38896","38896",338173.875535156,6534235.8492533,338203.875535156,6534205.8492533,"255","120",0.468127198710565
"38897","38897",338173.875535156,6534205.8492533,338203.875535156,6534175.8492533,"256","120",0.770701307767166
"38898","38898",338173.875535156,6534175.8492533,338203.875535156,6534145.8492533,"257","120",0.825468496411893
"38899","38899",338173.875535156,6534145.8492533,338203.875535156,6534115.8492533,"258","120",0.898837732267464
"38900","38900",338173.875535156,6534115.8492533,338203.875535156,6534085.8492533,"259","120",0.58569084382649
"38901","38901",338173.875535156,6534085.8492533,338203.875535156,6534055.8492533,"260","120",1.38846545333558
"38902","38902",338173.875535156,6534055.8492533,338203.875535156,6534025.8492533,"261","120",2.50359766375651
"38903","38903",338173.875535156,6534025.8492533,338203.875535156,6533995.8492533,"262","120",3.29789926637461
"38904","38904",338173.875535156,6533995.8492533,338203.875535156,6533965.8492533,"263","120",4.00125491012961
"39218","39218",338203.875535156,6534235.8492533,338233.875535156,6534205.8492533,"255","121",0.685147997002426
"39219","39219",338203.875535156,6534205.8492533,338233.875535156,6534175.8492533,"256","121",1.42574725145326
"39220","39220",338203.875535156,6534175.8492533,338233.875535156,6534145.8492533,"257","121",1.04372356931689
"39221","39221",338203.875535156,6534145.8492533,338233.875535156,6534115.8492533,"258","121",0.614127432562828
"39222","39222",338203.875535156,6534115.8492533,338233.875535156,6534085.8492533,"259","121",3.18621886368201
"39223","39223",338203.875535156,6534085.8492533,338233.875535156,6534055.8492533,"260","121",2.96839350184729
"39224","39224",338203.875535156,6534055.8492533,338233.875535156,6534025.8492533,"261","121",3.99526361097772
"39225","39225",338203.875535156,6534025.8492533,338233.875535156,6533995.8492533,"262","121",4.88693408615735
"39226","39226",338203.875535156,6533995.8492533,338233.875535156,6533965.8492533,"263","121",1.45890408013916
"39227","39227",338203.875535156,6533965.8492533,338233.875535156,6533935.8492533,"264","121",0.353170174165865
"39228","39228",338203.875535156,6533935.8492533,338233.875535156,6533905.8492533,"265","121",0.239118074715908
"39229","39229",338203.875535156,6533905.8492533,338233.875535156,6533875.8492533,"266","121",0.635799393057823
"39230","39230",338203.875535156,6533875.8492533,338233.875535156,6533845.8492533,"267","121",0.583110701564132
"39231","39231",338203.875535156,6533845.8492533,338233.875535156,6533815.8492533,"268","121",1.58336940652225
"39232","39232",338203.875535156,6533815.8492533,338233.875535156,6533785.8492533,"269","121",3.17121781436382
"39233","39233",338203.875535156,6533785.8492533,338233.875535156,6533755.8492533,"270","121",1.92583673158279
