"ID","Volume..L.","DBH..cm.","vol_opt_mean","Volume.Standard.Deviation..L.","dbhqsm_mean..cm.","DBH.Standard.Deviation..cm.","Number.of.Models","Height..m.","Surface.Area..m.2.","PatchDiam1","PatchDiam2Min","PatchDiam2Max","Processing.Time","X","Y","Z","Lat","Long","Elevation","plot_id","tree_id"
"AM2_Mt_Grenfell_NP.0297",155.478088,19.0814212,159.03,5.27,19,1,4,5.32147217,0,0,0,0,0,68.3021926879883,13.7533769607544,264.1552734375,-31.3002705815258,145.306469131739,264.155653695576,"AM2_Mt_Grenfell_NP","0297"
"AM2_Mt_Grenfell_NP.0197",155.004074,16.0893604,157.25,5.62,14,2,4,6.55487061,0,0,0,0,0,32.9050559997559,-28.412670135498,262.207153320312,-31.300650871122,145.306097344391,262.207301656716,"AM2_Mt_Grenfell_NP","0197"
"AM2_Mt_Grenfell_NP.0106",147.689941,6.99350312,142.29,23.41,8,1,4,6.21551514,0,0,0,0,0,23.5036773681641,-59.3332443237305,261.699981689453,-31.3009297385494,145.305998598654,261.700302027166,"AM2_Mt_Grenfell_NP","0106"
"AM2_Mt_Grenfell_NP.0144",140.70311,17.9546207,140,3.03,18,1,4,6.75863647,0,0,0,0,0,32.6773529052734,6.08948278427124,262.759796142578,-31.3003397023407,145.306094951575,262.759882691316,"AM2_Mt_Grenfell_NP","0144"
"AM2_Mt_Grenfell_NP.0148",138.706528,16.1978647,136.39,15.27,15,1,4,6.9519043,0,0,0,0,0,-31.0216827392578,69.7636337280273,261.574066162109,-31.2997654364147,145.305425899004,261.574524582364,"AM2_Mt_Grenfell_NP","0148"
"AM2_Mt_Grenfell_NP.0199",135.151581,17.4933255,133.7,2.48,17,0,4,5.83621216,0,0,0,0,0,56.8182220458984,11.8252830505371,263.732269287109,-31.3002879712678,145.306348511619,263.732533129863,"AM2_Mt_Grenfell_NP","0199"
"AM2_Mt_Grenfell_NP.0242",133.538498,17.7029714,133.46,0.8,18,3,4,5.45251465,0,0,0,0,0,-43.0242881774902,-52.091682434082,259.936431884766,-31.3008644277598,145.305299826589,259.936790428124,"AM2_Mt_Grenfell_NP","0242"
"AM2_Mt_Grenfell_NP.0112",131.224182,16.3380995,134.02,12.41,15,2,4,4.67388916,0,0,0,0,0,-37.566822052002,42.3105850219727,261.115692138672,-31.3000130304154,145.305357152334,261.115943562239,"AM2_Mt_Grenfell_NP","0112"
"AM2_Mt_Grenfell_NP.0392",130.924408,17.6672265,130.2,2.8,18,0,4,6.55923462,0,0,0,0,0,11.923038482666,57.1860198974609,262.593994140625,-31.2998788721393,145.305876960743,262.594262654893,"AM2_Mt_Grenfell_NP","0392"
"AM2_Mt_Grenfell_NP.0216",125.781044,38.0423218,118.51,18.94,38,0,4,1.23010254,0,0,0,0,0,-9.16985988616943,59.2643356323242,262.138305664062,-31.2998601281646,145.305655415329,262.138588679954,"AM2_Mt_Grenfell_NP","0216"
"AM2_Mt_Grenfell_NP.0131",123.723923,13.7309447,122.99,2.02,14,0,4,8.87915039,0,0,0,0,0,18.1849155426025,-7.55018138885498,262.077209472656,-31.3004627163656,145.305942732424,262.077239858918,"AM2_Mt_Grenfell_NP","0131"
"AM2_Mt_Grenfell_NP.0087",122.851402,12.7944648,120.82,4.34,13,1,4,6.1605835,0,0,0,0,0,-49.7754936218262,37.3116340637207,260.35009765625,-31.3000581145791,145.305228920247,260.350401267409,"AM2_Mt_Grenfell_NP","0087"
"AM2_Mt_Grenfell_NP.0149",121.968346,11.4507459,101.96,36.24,10,2,4,4.63021851,0,0,0,0,0,-19.9719848632812,51.1680374145508,261.62060546875,-31.2999331470758,145.305541957008,261.620842768811,"AM2_Mt_Grenfell_NP","0149"
"AM2_Mt_Grenfell_NP.0099",118.82058,9.70691815,118.3,4.63,8,1,4,4.82965088,0,0,0,0,0,58.6606712341309,-36.6741180419922,263.072723388672,-31.300725378594,145.306367866439,263.073098746128,"AM2_Mt_Grenfell_NP","0099"
"AM2_Mt_Grenfell_NP.0330",114.756592,13.0226672,114.99,1.36,13,0,4,8.65930176,0,0,0,0,0,22.9717807769775,-22.2110576629639,261.975830078125,-31.3005949401268,145.305993011048,261.975910235196,"AM2_Mt_Grenfell_NP","0330"
"AM2_Mt_Grenfell_NP.0085",113.996117,13.9546216,127.83,43.87,15,6,4,4.05218506,0,0,0,0,0,14.2756261825562,-55.4509963989258,261.582458496094,-31.300894725403,145.305901672353,261.582716457546,"AM2_Mt_Grenfell_NP","0085"
"AM2_Mt_Grenfell_NP.0294",113.979607,16.8051809,115.36,2.67,15,3,4,8.60284424,0,0,0,0,0,60.6290435791016,-9.86542510986328,263.294342041016,-31.3004835956845,145.306388539416,263.294637590647,"AM2_Mt_Grenfell_NP","0294"
"AM2_Mt_Grenfell_NP.0424",113.155197,7.3534295,114.74,1.99,7,0,4,4.44177246,0,0,0,0,0,20.5886096954346,13.157280921936,262.426818847656,-31.300275959398,145.305967978908,262.426865671761,"AM2_Mt_Grenfell_NP","0424"
"AM2_Mt_Grenfell_NP.0136",106.880867,12.6743734,107.07,2.74,13,0,4,7.67532349,0,0,0,0,0,-23.3473243713379,20.9447078704834,261.196166992188,-31.3002057258877,145.305506503995,261.196244209073,"AM2_Mt_Grenfell_NP","0136"
"AM2_Mt_Grenfell_NP.0021",105.004204,12.637502,104.2,1.67,11,2,4,5.69787598,0,0,0,0,0,19.9253234863281,-56.6581001281738,261.586456298828,-31.3009056119743,145.305961013592,261.586740043946,"AM2_Mt_Grenfell_NP","0021"
"AM2_Mt_Grenfell_NP.0384",97.5445709,14.0932232,97.47,0.96,14,0,4,8.67324829,0,0,0,0,0,16.8926010131836,-24.7267913818359,261.768463134766,-31.3006176291944,145.305929159047,261.768533605151,"AM2_Mt_Grenfell_NP","0384"
"AM2_Mt_Grenfell_NP.0075",97.3695374,16.1539599,96.25,11.94,16,1,4,4.9881897,0,0,0,0,0,-43.3553352355957,-21.8849334716797,260.208129882812,-31.3005919983448,145.305296350788,260.208314792253,"AM2_Mt_Grenfell_NP","0075"
"AM2_Mt_Grenfell_NP.0065",95.2063141,28.0492574,90.73,10.6,28,1,4,1.45605469,0,0,0,0,0,-23.4321403503418,20.1840534210205,261.074035644531,-31.3002125860913,145.30550561312,261.074110710993,"AM2_Mt_Grenfell_NP","0065"
"AM2_Mt_Grenfell_NP.0156",91.2992401,19.2584634,91.77,2.47,19,0,4,3.57266235,0,0,0,0,0,-16.9564666748047,-34.4969291687012,260.9326171875,-31.3007057443766,145.305573628506,260.932733366266,"AM2_Mt_Grenfell_NP","0156"
"AM2_Mt_Grenfell_NP.0039",91.1314163,14.1368538,90.83,1.24,14,0,4,7.31982422,0,0,0,0,0,53.3815116882324,-40.3290176391602,262.718627929688,-31.3007583417532,145.306312417481,262.718979112804,"AM2_Mt_Grenfell_NP","0039"
"AM2_Mt_Grenfell_NP.0038",89.1238403,12.1435277,87.29,6.4,14,3,4,2.62997437,0,0,0,0,0,-67.0863571166992,-24.7312202453613,259.648468017578,-31.3006176674017,145.305047094088,259.648868635297,"AM2_Mt_Grenfell_NP","0038"
"AM2_Mt_Grenfell_NP.0063",88.1932602,20.1504409,88.02,4.74,20,0,4,3.25137329,0,0,0,0,0,45.8298072814941,-44.6055603027344,262.435699462891,-31.3007969114672,145.306233099008,262.436020554975,"AM2_Mt_Grenfell_NP","0063"
"AM2_Mt_Grenfell_NP.0482",87.8528214,15.9620956,87.18,4.35,16,1,4,5.90182495,0,0,0,0,0,16.1138000488281,3.53698348999023,262.374481201172,-31.3003627232224,145.305920978516,262.37450252194,"AM2_Mt_Grenfell_NP","0482"
"AM2_Mt_Grenfell_NP.0091",87.1905289,20.4983667,87.79,3.43,21,0,4,2.37081909,0,0,0,0,0,2.68547630310059,-51.1923599243164,261.040802001953,-31.3008563176389,145.305779935985,261.041008824483,"AM2_Mt_Grenfell_NP","0091"
"AM2_Mt_Grenfell_NP.0064",85.3528214,14.8702219,84.01,2.65,15,1,4,6.37033081,0,0,0,0,0,52.9107818603516,12.2100028991699,263.460266113281,-31.3002845017279,145.306307470364,263.460497104563,"AM2_Mt_Grenfell_NP","0064"
"AM2_Mt_Grenfell_NP.0031",80.3966599,10.6103055,79.45,2.45,12,1,4,7.08508301,0,0,0,0,0,19.9859638214111,-57.7175331115723,261.402252197266,-31.3009151668267,145.305961650551,261.402545668185,"AM2_Mt_Grenfell_NP","0031"
"AM2_Mt_Grenfell_NP.0026",80.2307434,17.4562663,80.63,2.36,18,0,4,4.28720093,0,0,0,0,0,19.2577419281006,-57.4535484313965,261.522552490234,-31.3009127859981,145.305954001711,261.522841330618,"AM2_Mt_Grenfell_NP","0026"
"AM2_Mt_Grenfell_NP.0080",76.9213333,12.0207675,76.82,0.33,12,0,4,2.80169678,0,0,0,0,0,32.0673942565918,-39.1678733825684,262.008544921875,-31.3007478704222,145.306088546446,262.00874619931,"AM2_Mt_Grenfell_NP","0080"
"AM2_Mt_Grenfell_NP.0275",76.6533356,13.8795704,77.13,0.63,14,0,4,6.47857666,0,0,0,0,0,-40.6371994018555,-6.36930179595947,260.429656982422,-31.3004520656696,145.305324901105,260.429789509624,"AM2_Mt_Grenfell_NP","0275"
"AM2_Mt_Grenfell_NP.0168",75.6993408,12.2167252,75.85,0.87,13,0,4,7.0005188,0,0,0,0,0,62.3133697509766,5.65197467803955,263.790374755859,-31.3003436469477,145.306406229523,263.790681377985,"AM2_Mt_Grenfell_NP","0168"
"AM2_Mt_Grenfell_NP.0505",71.15522,13.666977,68.62,3.74,13,2,4,3.39633179,0,0,0,0,0,38.7123336791992,-4.0374002456665,262.740203857422,-31.3004310347098,145.3061583396,262.740322512574,"AM2_Mt_Grenfell_NP","0505"
