"name","MAE","RMSE","MBE","R2","Pearson_R","mean_observed","MAE_p","RMSE_p","MBE_p","MAE_p_inv","RMSE_p_inv","MBE_p_inv","Raw_Weight"
"0",0.064366223051974,0.0955921623159089,-0.00672289492978852,0.936606978682613,0.967784572455365,0.606615369578138,0.106107141823223,0.157582822839433,-0.0110826320382615,0.893892858176777,0.842417177160567,1.01108263203826,0.890972338006652
"1",0.0748586376870125,0.109312253104115,0.0183415378821231,0.921521069575087,0.959958889523448,0.594973469876038,0.12581844649747,0.18372626451208,0.0308274886373414,0.87418155350253,0.81627373548792,0.969172511362659,0.870658786188512
"10",0.0573332697055465,0.0819516369593297,0.0142482679941516,0.934409369225404,0.966648524141736,0.468228537183135,0.122447192241771,0.175024865960437,0.0304301572045763,0.877552807758229,0.824975134039563,0.969569842795424,0.878979103674399
"11",0.0530586951843354,0.0780574590253312,-0.0104510096224273,0.943835143178991,0.971511782316091,0.496139158480077,0.106943171643377,0.157329768656964,-0.021064673980671,0.893056828356623,0.842670231343036,1.02106467398067,0.89318740095955
"12",0.0470931656338133,0.0674772224573148,-0.00731074734043059,0.950726010326063,0.975051798791255,0.438363985481353,0.107429367360327,0.153929667336199,-0.0166773448151834,0.892570632639673,0.846070332663801,1.01667734481518,0.896455658543179
"13",0.0611938319315411,0.0855127167646774,-0.0272709480412316,0.934618134717725,0.966756502288832,0.564007008675129,0.108498353726645,0.151616408039945,-0.0483521438949702,0.891501646273355,0.848383591960055,1.04835214389497,0.891501124317045
"14",0.0723558420841808,0.100723608347346,0.00589589022749167,0.900081743372591,0.948726379612473,0.622162581989993,0.116297321919859,0.16189274518114,0.00947644618651545,0.883702678080141,0.83810725481886,0.990523553813485,0.873963892090531
"15",0.0622285036826587,0.0869013406934399,0.00557969471510988,0.925061276307305,0.961801058591275,0.57163116278648,0.108861286321968,0.15202344859897,0.0097610051346939,0.891138713678032,0.84797655140103,0.990238994865306,0.888058847128789
"16",0.0519850006768274,0.0755786353449433,0.000528896336654532,0.942619370514918,0.970885868943878,0.457569302455106,0.113611206866151,0.165174182226437,0.00115588247248388,0.886388793133849,0.834825817773563,0.998844117527516,0.88794466047411
"17",0.0597382362991892,0.0864686008830107,0.0245404497204782,0.932261633769737,0.965536966547495,0.454234291725986,0.131514148947667,0.19036123528774,0.054025973308246,0.868485851052333,0.80963876471226,0.945974026691754,0.870128749844777
"18",0.0555749810009767,0.0827340501851945,-0.00275367210459806,0.937696179495289,0.96834713790835,0.479377453591127,0.115931570382903,0.172586444283966,-0.00574426703627729,0.884068429617097,0.827413555716034,1.00574426703628,0.88305938827614
"19",0.0486043121634891,0.0709003163386678,0.000846868442945614,0.946772184267117,0.973022191045567,0.422874558736737,0.114937896260976,0.167662761624795,0.00200264694446383,0.885062103739024,0.832337238375205,0.997997353055536,0.888057175460448
"2",0.068468531447257,0.103534314563904,0.00732768853058047,0.936725143444783,0.96784561963403,0.537682943750556,0.127339972827967,0.192556441983653,0.0136282703696474,0.872660027172033,0.807443558016347,0.986371729630353,0.872276242877721
"20",0.061140458898166,0.0865265141951191,-0.0146732808148928,0.92936818467611,0.964037439457675,0.553979396952682,0.110365943633439,0.156190852351337,-0.0264870514961518,0.889634056366561,0.843809147648663,1.02648705149615,0.887603796230445
"21",0.0715378531836673,0.0995762290616254,0.0136061847761249,0.912003155378494,0.954988562956904,0.60897751225402,0.11747207695549,0.163513803150238,0.0223426719416356,0.88252792304451,0.836486196849762,0.977657328058364,0.877005758424255
"22",0.0647199906144388,0.0904021386988201,0.0127089317427814,0.925130451069786,0.961837018974518,0.556536168839958,0.116290717904895,0.162437131242079,0.0228357696306996,0.883709282095105,0.837562868757921,0.9771642303693,0.882134200640937
"23",0.0519931765013578,0.0773835378257171,0.00458149361196305,0.940500072524272,0.969793829906267,0.444141448355931,0.117064454789842,0.174231741063947,0.0103153930553482,0.882935545210158,0.825768258936053,0.989684606944652,0.883067958890161
"24",0.0557565637616131,0.0871374610332976,-0.00405996383361331,0.926320470337705,0.962455438104905,0.390156608425862,0.142908161895732,0.223339702958935,-0.0104059850478857,0.857091838104267,0.776660297041065,1.01040598504789,0.853357535161013
"25",0.0490529257407741,0.075067952311806,0.00743157094587521,0.919743236496955,0.959032448093888,0.327789446541836,0.149647666385481,0.229012718694179,0.0226717822195863,0.850352333614519,0.770987281305821,0.977328217780414,0.847027617139098
"3",0.0680942900534037,0.104110822616589,-0.0207368485275739,0.939988896085582,0.969530245059732,0.564767693949463,0.120570441232598,0.184342737256329,-0.036717483577291,0.879429558767402,0.815657262743671,1.03671748357729,0.878358572532218
"4",0.05876033121759,0.0909827152718809,-0.00355995612644167,0.948662420810033,0.973993029138314,0.504891446475114,0.116382108724209,0.180202528498105,-0.00705093372307138,0.883617891275791,0.819797471501895,1.00705093372307,0.884025927862573
"46",0.0788875303279431,0.118197097021794,0.026066408699644,0.917416150022668,0.957818432701454,0.537682943750556,0.146717561426945,0.21982675551752,0.0484791437084097,0.853282438573055,0.78017324448248,0.95152085629159,0.850290611026067
"47",0.0599258755799067,0.0933630011447622,-0.0347579689850445,0.932084628545977,0.965445300649382,0.394705410128658,0.151824307552241,0.236538437905702,-0.0880605334842378,0.848175692447759,0.763461562094298,1.08806053348424,0.847907294362678
"48",0.0674239251795899,0.104858306294747,-0.00035987392536525,0.930619214122185,0.964686070243679,0.509761127293867,0.132265725198621,0.205700867877865,-0.000705965806525279,0.867734274801379,0.794299132122135,1.00070596580653,0.864217540348566
