id,left,top,right,bottom,row_index,col_index,ALS_30m_1mean
38252,338113.875535156,6534235.8492533,338143.875535156,6534205.8492533,255,118,0.416542316300367
38253,338113.875535156,6534205.8492533,338143.875535156,6534175.8492533,256,118,0.56002819573237
38574,338143.875535156,6534235.8492533,338173.875535156,6534205.8492533,255,119,0.950833207241354
38575,338143.875535156,6534205.8492533,338173.875535156,6534175.8492533,256,119,0.636961420013414
38576,338143.875535156,6534175.8492533,338173.875535156,6534145.8492533,257,119,0.514301764092947
38577,338143.875535156,6534145.8492533,338173.875535156,6534115.8492533,258,119,0.346360098030487
38896,338173.875535156,6534235.8492533,338203.875535156,6534205.8492533,255,120,0.357075235221272
38897,338173.875535156,6534205.8492533,338203.875535156,6534175.8492533,256,120,0.57082126463453
38898,338173.875535156,6534175.8492533,338203.875535156,6534145.8492533,257,120,0.772433957863185
38899,338173.875535156,6534145.8492533,338203.875535156,6534115.8492533,258,120,0.676189446400409
38900,338173.875535156,6534115.8492533,338203.875535156,6534085.8492533,259,120,0.426034930258086
38901,338173.875535156,6534085.8492533,338203.875535156,6534055.8492533,260,120,1.27019906138317
38902,338173.875535156,6534055.8492533,338203.875535156,6534025.8492533,261,120,2.39943621148755
38903,338173.875535156,6534025.8492533,338203.875535156,6533995.8492533,262,120,3.44409480179424
38904,338173.875535156,6533995.8492533,338203.875535156,6533965.8492533,263,120,3.53335863318147
39218,338203.875535156,6534235.8492533,338233.875535156,6534205.8492533,255,121,0.490393848353596
39219,338203.875535156,6534205.8492533,338233.875535156,6534175.8492533,256,121,1.11522153038118
39220,338203.875535156,6534175.8492533,338233.875535156,6534145.8492533,257,121,0.837492100513644
39221,338203.875535156,6534145.8492533,338233.875535156,6534115.8492533,258,121,0.559134821883506
39222,338203.875535156,6534115.8492533,338233.875535156,6534085.8492533,259,121,3.7194671120743
39223,338203.875535156,6534085.8492533,338233.875535156,6534055.8492533,260,121,3.04190313897199
39224,338203.875535156,6534055.8492533,338233.875535156,6534025.8492533,261,121,4.17987954778804
39225,338203.875535156,6534025.8492533,338233.875535156,6533995.8492533,262,121,5.14133301513063
39226,338203.875535156,6533995.8492533,338233.875535156,6533965.8492533,263,121,1.28837982477995
39227,338203.875535156,6533965.8492533,338233.875535156,6533935.8492533,264,121,0.225369484089215
39228,338203.875535156,6533935.8492533,338233.875535156,6533905.8492533,265,121,0.148593574531388
39229,338203.875535156,6533905.8492533,338233.875535156,6533875.8492533,266,121,0.413783667014425
39230,338203.875535156,6533875.8492533,338233.875535156,6533845.8492533,267,121,0.436424234389898
39231,338203.875535156,6533845.8492533,338233.875535156,6533815.8492533,268,121,1.13297218064334
39232,338203.875535156,6533815.8492533,338233.875535156,6533785.8492533,269,121,2.76277502858362
39233,338203.875535156,6533785.8492533,338233.875535156,6533755.8492533,270,121,1.88866779354961
39234,338203.875535156,6533755.8492533,338233.875535156,6533725.8492533,271,121,1.35045901871525
39235,338203.875535156,6533725.8492533,338233.875535156,6533695.8492533,272,121,0.846891222669792
39236,338203.875535156,6533695.8492533,338233.875535156,6533665.8492533,273,121,1.10119478405556
39237,338203.875535156,6533665.8492533,338233.875535156,6533635.8492533,274,121,3.05245889452784
39238,338203.875535156,6533635.8492533,338233.875535156,6533605.8492533,275,121,1.35232644072462
39251,338203.875535156,6533245.8492533,338233.875535156,6533215.8492533,288,121,2.75446329116821
39540,338233.875535156,6534235.8492533,338263.875535156,6534205.8492533,255,122,0.878499798666347
39541,338233.875535156,6534205.8492533,338263.875535156,6534175.8492533,256,122,1.1809448428452
39542,338233.875535156,6534175.8492533,338263.875535156,6534145.8492533,257,122,0.964491620270742
39543,338233.875535156,6534145.8492533,338263.875535156,6534115.8492533,258,122,0.516005023211862
39544,338233.875535156,6534115.8492533,338263.875535156,6534085.8492533,259,122,6.48615387777487
39545,338233.875535156,6534085.8492533,338263.875535156,6534055.8492533,260,122,3.01947579405374
39546,338233.875535156,6534055.8492533,338263.875535156,6534025.8492533,261,122,0.738160733051934
39547,338233.875535156,6534025.8492533,338263.875535156,6533995.8492533,262,122,2.15176363784975
39548,338233.875535156,6533995.8492533,338263.875535156,6533965.8492533,263,122,0.220123935715916
39549,338233.875535156,6533965.8492533,338263.875535156,6533935.8492533,264,122,0.0328446094242908
39550,338233.875535156,6533935.8492533,338263.875535156,6533905.8492533,265,122,0.0712876686929829
39551,338233.875535156,6533905.8492533,338263.875535156,6533875.8492533,266,122,0.180406445985039
39552,338233.875535156,6533875.8492533,338263.875535156,6533845.8492533,267,122,0.577519306364573
39553,338233.875535156,6533845.8492533,338263.875535156,6533815.8492533,268,122,1.12705712085797
39554,338233.875535156,6533815.8492533,338263.875535156,6533785.8492533,269,122,1.02264249525136
39555,338233.875535156,6533785.8492533,338263.875535156,6533755.8492533,270,122,1.73775073337886
39556,338233.875535156,6533755.8492533,338263.875535156,6533725.8492533,271,122,2.8420999867883
39557,338233.875535156,6533725.8492533,338263.875535156,6533695.8492533,272,122,2.43107600096199
39558,338233.875535156,6533695.8492533,338263.875535156,6533665.8492533,273,122,2.28528443121248
39559,338233.875535156,6533665.8492533,338263.875535156,6533635.8492533,274,122,1.95165273868375
39560,338233.875535156,6533635.8492533,338263.875535156,6533605.8492533,275,122,2.56770606401904
39561,338233.875535156,6533605.8492533,338263.875535156,6533575.8492533,276,122,2.6914636957181
39562,338233.875535156,6533575.8492533,338263.875535156,6533545.8492533,277,122,4.06217006067686
39563,338233.875535156,6533545.8492533,338263.875535156,6533515.8492533,278,122,4.67973639518023
