ID,Volume (L),DBH (cm),vol_opt_mean,Volume Standard Deviation (L),dbhqsm_mean (cm),DBH Standard Deviation (cm),Number of Models,Height (m),Surface Area (m^2),PatchDiam1,PatchDiam2Min,PatchDiam2Max,Processing Time,X,Y,Z,Lat,Long,Elevation
AM1_MT_Grenfell_7.0983,4971.92822,45.941665799999996,5128.15,389.54,33.0,12.0,4,14.5224304,0.0,0.0,0.0,0.0,0.0,1.7687560319900513,22.791898727416992,260.46600341796875,-31.295817594075057,145.30285020127292,260.4660445479676
AM1_MT_Grenfell_7.0990,3280.55347,41.7387605,3088.23,269.7,44.0,3.0,4,11.3679504,0.0,0.0,0.0,0.0,0.0,-2.3103463649749756,-59.38538360595703,260.4236145019531,-31.296558737100014,145.3028073587949,260.4238924793899
AM1_MT_Grenfell_7.0328,2903.48047,60.434097099999995,2896.14,49.14,57.99999999999999,8.0,4,14.3283386,0.0,0.0,0.0,0.0,0.0,-6.845242023468018,-28.5687255859375,260.44219970703125,-31.29628080685861,145.302759729207,260.44226761255413
AM1_MT_Grenfell_7.0976,2843.18726,57.484209500000006,2791.85,63.51,56.99999999999999,1.0,4,13.756134,0.0,0.0,0.0,0.0,0.0,3.5569491386413574,-16.004638671875,260.5476989746094,-31.296167493494423,145.30286898257273,260.54772012494504
AM1_MT_Grenfell_7.0129,2654.55054,65.81451299999999,2634.27,30.96,66.0,2.0,4,13.4714966,0.0,0.0,0.0,0.0,0.0,40.571537017822266,-31.471696853637695,261.0522155761719,-31.296306987551617,145.30325774405523,261.05242244619876
AM1_MT_Grenfell_7.0977,2523.60278,52.1485329,2524.22,68.79,53.0,1.0,4,15.9224548,0.0,0.0,0.0,0.0,0.0,-29.72743797302246,-21.64940071105957,260.1033630371094,-31.29621840228828,145.3025193994579,260.103469138965
AM1_MT_Grenfell_7.0915,2451.20654,73.22639819999999,2544.49,125.89,62.0,23.0,4,12.791687,0.0,0.0,0.0,0.0,0.0,53.26362991333008,-10.57754135131836,261.5496826171875,-31.296118546193263,145.30339104699493,261.5499136149883
AM1_MT_Grenfell_7.0190,2372.01489,53.7901938,2384.76,96.55,53.0,2.0,4,13.2719421,0.0,0.0,0.0,0.0,0.0,-21.92282485961914,-51.14845275878906,260.1054992675781,-31.296484449435045,145.3026013700108,260.10574281122535
AM1_MT_Grenfell_7.0056,2343.48242,63.4446919,2294.12,62.18,63.0,1.0,4,12.2890625,0.0,0.0,0.0,0.0,0.0,-74.42931365966797,1.6583055257797241,259.8933410644531,-31.29600819201024,145.30204990110093,259.89377514552325
AM1_MT_Grenfell_7.0294,2332.21484,47.4595249,2339.61,21.68,47.0,0.0,4,15.2480164,0.0,0.0,0.0,0.0,0.0,26.449771881103516,52.24418640136719,261.3122863769531,-31.295551968612518,145.30310942199313,261.3125559864566
AM1_MT_Grenfell_7.0978,2276.10742,49.928724800000005,2267.3,30.94,50.0,0.0,4,12.3649292,0.0,0.0,0.0,0.0,0.0,-24.141881942749023,10.639928817749023,260.20025634765625,-31.295927190390586,145.30257806486978,260.20031090453267
AM1_MT_Grenfell_7.0227,2214.79004,57.36544730000001,2074.03,297.56,42.0,21.0,4,11.7120361,0.0,0.0,0.0,0.0,0.0,63.6231689453125,-7.647441387176514,261.6247253417969,-31.296092119600235,145.30349985203438,261.6250469721854
AM1_MT_Grenfell_7.0491,2160.83936,44.1432863,2166.67,13.07,44.0,0.0,4,16.8298035,0.0,0.0,0.0,0.0,0.0,13.147310256958008,29.828006744384766,260.8577575683594,-31.295754136545607,145.30296970866397,260.85784113034606
AM1_MT_Grenfell_7.0302,2152.92676,58.8984191,2124.86,49.8,36.0,23.0,4,12.4637146,0.0,0.0,0.0,0.0,0.0,-0.4554469883441925,1.2876256704330444,260.451171875,-31.296011537489285,145.30282684074476,260.45117202214897
AM1_MT_Grenfell_7.0985,2149.81763,41.4921463,2175.63,71.43,41.0,0.0,4,14.0010071,0.0,0.0,0.0,0.0,0.0,5.359122276306152,0.09304091334342957,260.7789306640625,-31.29602231123545,145.30288791054687,260.77893291413784
AM1_MT_Grenfell_7.0131,2146.54663,39.0189618,2129.17,39.07,39.0,0.0,4,11.2290955,0.0,0.0,0.0,0.0,0.0,-39.84078598022461,7.22991943359375,259.8972473144531,-31.295957944257015,145.30241318094576,259.89737574383616
AM1_MT_Grenfell_7.0149,2142.24072,31.3711703,2016.1,252.14,31.0,16.0,4,12.3948669,0.0,0.0,0.0,0.0,0.0,-4.1024169921875,64.12910461425781,261.25909423828125,-31.295444780834654,145.30278853727248,261.2594192298129
AM1_MT_Grenfell_7.0525,1994.36768,54.3839395,1926.63,119.79,53.0,5.0,4,11.1595154,0.0,0.0,0.0,0.0,0.0,-39.86458969116211,-46.546363830566406,259.7008361816406,-31.296442943522834,145.30241292878117,259.701131163165
AM1_MT_Grenfell_7.0080,1906.59204,54.5683563,2006.86,194.21,43.0,16.0,4,12.8703308,0.0,0.0,0.0,0.0,0.0,16.755413055419922,72.55384063720703,261.5081787109375,-31.295368799476723,145.30300760334214,261.5086150020361
AM1_MT_Grenfell_7.0851,1873.20166,47.682783,1860.15,166.5,46.0,3.0,4,12.9505005,0.0,0.0,0.0,0.0,0.0,23.707477569580078,1.3960844278335571,261.009033203125,-31.296010559077907,145.30308062133057,261.0090773757547
