ID,Volume (L),DBH (cm),vol_opt_mean,Volume Standard Deviation (L),dbhqsm_mean (cm),DBH Standard Deviation (cm),Number of Models,Height (m),Surface Area (m^2),PatchDiam1,PatchDiam2Min,PatchDiam2Max,Processing Time,X,Y,Z,Lat,Long,Elevation
AM2_Mt_Grenfell_NP_6.1835,1927.57458,44.1279054,1914.76,18.06,44.0,0.0,4,11.2786255,0.0,0.0,0.0,0.0,0.0,-44.106929779052734,-4.888078212738037,317.1724548339844,-31.310491254785482,145.31764222415728,317.1726090759039
AM2_Mt_Grenfell_NP_6.0188,1704.21033,13.907182200000001,1795.14,142.65,11.0,5.0,4,6.31716919,0.0,0.0,0.0,0.0,0.0,-10.713483810424805,34.29928207397461,319.71661376953125,-31.310137835448558,145.31799300293252,319.71671534888446
AM2_Mt_Grenfell_NP_6.0890,1063.80737,42.501306500000005,1055.85,61.2,42.0,0.0,4,10.1229858,0.0,0.0,0.0,0.0,0.0,-22.838415145874023,27.6090145111084,318.88629150390625,-31.310198172939575,145.31786563807464,318.88639234472066
AM2_Mt_Grenfell_NP_6.0602,855.965332,39.4278646,825.02,47.42,40.0,0.0,4,12.9873047,0.0,0.0,0.0,0.0,0.0,-38.61723709106445,-19.436559677124023,317.7328796386719,-31.310622463795866,145.31769988959076,317.7330261655152
AM2_Mt_Grenfell_NP_6.0687,675.180176,20.8857119,639.38,243.25,12.0,6.0,4,5.85379028,0.0,0.0,0.0,0.0,0.0,16.468839645385742,7.495293140411377,321.083984375,-31.310379573257727,145.31827853631577,321.08401003759354
AM2_Mt_Grenfell_NP_6.2089,634.399109,9.30720866,626.2,35.4,13.0,6.0,4,5.60348511,0.0,0.0,0.0,0.0,0.0,25.272768020629883,25.489770889282227,321.72637939453125,-31.31021728587459,145.31837101570514,321.72648055292666
AM2_Mt_Grenfell_NP_6.1551,617.052856,29.696315499999997,619.14,5.39,28.999999999999996,2.0,4,8.15139771,0.0,0.0,0.0,0.0,0.0,-25.076087951660156,10.23966121673584,318.8639221191406,-31.31035482237079,145.31784213229352,318.8639796189964
AM2_Mt_Grenfell_NP_6.0624,601.910095,32.4657261,613.2,20.46,34.0,1.0,4,8.07513428,0.0,0.0,0.0,0.0,0.0,-65.32025909423828,-0.018960004672408104,315.6348876953125,-31.310447340523655,145.31741939088914,315.6352218585089
AM2_Mt_Grenfell_NP_6.0626,532.078857,9.65405032,567.41,77.93,22.0,13.0,4,5.21240234,0.0,0.0,0.0,0.0,0.0,-36.307212829589844,51.6713752746582,318.11944580078125,-31.30998116064149,145.3177241576616,318.1197591740638
AM2_Mt_Grenfell_NP_6.0600,504.644562,27.4425924,499.02,12.75,28.000000000000004,1.0,4,10.9465027,0.0,0.0,0.0,0.0,0.0,14.771015167236328,44.833221435546875,321.3360595703125,-31.310042832780148,145.3182607011522,321.3362348517403
