ID,Volume (L),DBH (cm),vol_opt_mean,Volume Standard Deviation (L),dbhqsm_mean (cm),DBH Standard Deviation (cm),Number of Models,Height (m),Surface Area (m^2),PatchDiam1,PatchDiam2Min,PatchDiam2Max,Processing Time,X,Y,Z,Lat,Long,Elevation
AM2_Mt_Grenfell_NP_7.1207,2602.83105,16.7134136,2635.5,78.32,17.0,0.0,4,12.6838074,0.0,0.0,0.0,0.0,0.0,-33.87376022338867,26.095623016357422,258.9635925292969,-31.303474364979632,145.2992671727731,258.96373598929495
AM2_Mt_Grenfell_NP_7.1203,2295.69263,52.19131110000001,2296.72,24.57,54.0,1.0,4,12.0472717,0.0,0.0,0.0,0.0,0.0,-54.741878509521484,-41.47968673706055,258.2920837402344,-31.304083813947084,145.29904797607514,258.2924538506195
AM2_Mt_Grenfell_NP_7.1210,2172.39453,43.4762508,2159.75,17.77,45.0,1.0,4,12.5614319,0.0,0.0,0.0,0.0,0.0,-37.30874252319336,26.154132843017578,258.86468505859375,-31.30347383718117,145.29923109266625,258.86484790965915
AM2_Mt_Grenfell_NP_7.1201,2089.88623,26.830169599999998,2091.16,43.8,32.0,4.0,4,10.8746033,0.0,0.0,0.0,0.0,0.0,5.411869525909424,-45.04326248168945,257.5957946777344,-31.304115954524985,145.29967981854793,257.59595665335655
AM2_Mt_Grenfell_NP_7.1162,2055.65479,44.720828499999996,2061.75,44.4,45.0,0.0,4,14.0663757,0.0,0.0,0.0,0.0,0.0,-52.282649993896484,-29.41150665283203,258.4007263183594,-31.30397497327459,145.29907380794018,258.40100848209113
AM2_Mt_Grenfell_NP_7.1209,1603.35022,28.4069717,1620.49,34.12,28.999999999999996,2.0,4,11.7030945,0.0,0.0,0.0,0.0,0.0,5.9323344230651855,-45.389705657958984,257.500244140625,-31.304119079038625,145.29968528540832,257.50040904432535
AM2_Mt_Grenfell_NP_7.0926,1497.59583,38.7581557,1582.4,260.26,37.0,1.0,4,12.818573,0.0,0.0,0.0,0.0,0.0,26.349933624267578,-7.981678009033203,257.53948974609375,-31.30378170232594,145.29989974673862,257.53954913746566
AM2_Mt_Grenfell_NP_7.1208,1482.02307,7.61263371,1512.92,162.56,16.0,10.0,4,11.9324036,0.0,0.0,0.0,0.0,0.0,-15.631303787231445,0.13319939374923706,258.33544921875,-31.30370851586388,145.2994587860624,258.33546835556626
AM2_Mt_Grenfell_NP_7.0516,1284.27832,45.3705341,1272.53,31.96,45.0,1.0,4,13.7623291,0.0,0.0,0.0,0.0,0.0,57.87995529174805,19.492849349975586,257.2207946777344,-31.303533913231387,145.30023092894433,257.22108695749193
AM2_Mt_Grenfell_NP_7.0494,1278.46094,42.4994379,1285.74,20.65,42.0,0.0,4,12.8075867,0.0,0.0,0.0,0.0,0.0,3.0048298835754395,58.96706771850586,258.21826171875,-31.303177903661084,145.2996545351775,258.2185360882431
AM2_Mt_Grenfell_NP_7.0696,1177.19702,44.3792582,1142.73,120.23,40.0,5.0,4,10.5108032,0.0,0.0,0.0,0.0,0.0,14.756282806396484,32.74269485473633,257.8857421875,-31.30341441656485,145.29977796920844,257.8858436178416
AM2_Mt_Grenfell_NP_7.0068,1101.8877,39.782041299999996,1104.08,14.44,40.0,1.0,4,14.6483154,0.0,0.0,0.0,0.0,0.0,57.04633331298828,-3.996307134628296,256.89996337890625,-31.303745757869443,145.30022217417272,256.9002195056528
AM2_Mt_Grenfell_NP_7.1189,1044.80017,27.6981562,1006.67,63.78,28.999999999999996,6.0,4,10.4934692,0.0,0.0,0.0,0.0,0.0,-23.28820037841797,-5.803692817687988,258.3774719238281,-31.303762059518093,145.2993783597971,258.3775170482695
AM2_Mt_Grenfell_NP_7.0879,1042.97424,11.9009696,877.95,534.77,12.0,7.000000000000001,4,7.47186279,0.0,0.0,0.0,0.0,0.0,-4.068610191345215,27.60542106628418,258.1373291015625,-31.303460748831732,145.29958023781722,258.13739037606865
AM2_Mt_Grenfell_NP_7.1206,1038.75256,26.016789699999997,1035.31,43.83,24.0,2.0,4,9.62945557,0.0,0.0,0.0,0.0,0.0,25.454544067382812,-44.2263298034668,257.001953125,-31.304108586524546,145.2998903427276,257.0021578129381
